Marque,Modèle,Année,Type de carburant,Puissance fiscale,Nombre de portes,Première main,État,Boîte à vitesses,Origine,Prix,average_km,Âge
Renault,Express,2022.0,Diesel,5.0,5.0,Oui,Excellent,Manuelle,WW au Maroc,165000.0,82499.5,3.0
Volkswagen,Passat CC,2016.0,Diesel,8.0,5.0,Non,Excellent,Automatique,WW au Maroc,179000.0,194999.5,9.0
Skoda,Octavia,2016.0,Diesel,8.0,5.0,Non,Très bon,Manuelle,WW au Maroc,143000.0,224999.5,9.0
Ford,Mondeo,2011.0,Essence,11.0,5.0,Non,Excellent,Automatique,WW au Maroc,80000.0,72499.5,14.0
Mini,CountryMan,2018.0,Diesel,6.0,5.0,Non,Excellent,Manuelle,WW au Maroc,195000.0,114999.5,7.0
Renault,Megane,2019.0,Diesel,6.0,5.0,Oui,Très bon,Automatique,WW au Maroc,168000.0,144999.5,6.0
Volkswagen,Polo,2009.0,Essence,6.0,5.0,Non,Très bon,Manuelle,WW au Maroc,69000.0,104999.5,16.0
Volkswagen,Golf 7,2019.0,Diesel,8.0,5.0,Non,Excellent,Automatique,WW au Maroc,218000.0,92499.5,6.0
Mercedes-Benz,Classe B,2014.0,Diesel,6.0,5.0,Non,Excellent,Automatique,WW au Maroc,150000.0,124999.5,11.0
Dacia,Sandero,2023.0,Essence,6.0,5.0,Oui,Très bon,Automatique,WW au Maroc,140000.0,22499.5,2.0
Volkswagen,Jetta,2019.0,Diesel,8.0,5.0,Oui,Excellent,Automatique,WW au Maroc,187000.0,97499.5,6.0
Dacia,Logan,2023.0,Diesel,6.0,5.0,Oui,Excellent,Automatique,WW au Maroc,115000.0,27499.5,2.0
Peugeot,208,2023.0,Diesel,6.0,5.0,Non,Excellent,Manuelle,WW au Maroc,163000.0,12499.5,2.0
Ford,Kuga,2021.0,Diesel,6.0,5.0,Oui,Excellent,Automatique,WW au Maroc,280000.0,72499.5,4.0
Fiat,500,2013.0,Essence,7.0,3.0,Non,Excellent,Automatique,WW au Maroc,95000.0,37499.5,12.0
Renault,Latitude,2012.0,Diesel,8.0,5.0,Non,Très bon,Automatique,WW au Maroc,73000.0,274999.5,13.0
Peugeot,2008,2016.0,Diesel,6.0,5.0,Non,Excellent,Manuelle,WW au Maroc,138000.0,134999.5,9.0
Volkswagen,Golf 8,2023.0,Diesel,8.0,5.0,Oui,Très bon,Automatique,WW au Maroc,310000.0,62499.5,2.0
Kia,Ceed,2015.0,Diesel,6.0,5.0,Non,Très bon,Manuelle,WW au Maroc,108000.0,224999.5,10.0
Fiat,Punto,2014.0,Diesel,5.0,5.0,Non,Excellent,Manuelle,WW au Maroc,77000.0,104999.5,11.0
Nissan,Qashqai,2021.0,Diesel,6.0,5.0,Non,Bon,Automatique,WW au Maroc,235000.0,114999.5,4.0
Fiat,500,2024.0,Essence,7.0,3.0,Non,Excellent,Automatique,WW au Maroc,162000.0,22499.5,1.0
BMW,X1,2010.0,Diesel,8.0,5.0,Non,Bon,Automatique,Dédouanée,145000.0,124999.5,15.0
Dacia,Dokker,2021.0,Diesel,6.0,5.0,Oui,Très bon,Manuelle,WW au Maroc,146000.0,104999.5,4.0
Renault,Koleos,2019.0,Essence,14.0,5.0,Oui,Excellent,Automatique,Dédouanée,200000.0,17499.5,6.0
Opel,Astra,2014.0,Diesel,7.0,5.0,Non,Très bon,Manuelle,WW au Maroc,108000.0,274999.5,11.0
Renault,Clio,2017.0,Diesel,6.0,5.0,Non,Très bon,Automatique,WW au Maroc,119000.0,144999.5,8.0
Dacia,Duster,2020.0,Diesel,6.0,5.0,Oui,Très bon,Automatique,WW au Maroc,162000.0,82499.5,5.0
Mercedes-Benz,Classe A,2017.0,Diesel,6.0,5.0,Oui,Très bon,Automatique,WW au Maroc,220000.0,82499.5,8.0
Peugeot,206,2004.0,Diesel,6.0,5.0,Non,Bon,Manuelle,Dédouanée,60000.0,224999.5,21.0
Hyundai,i30,2016.0,Diesel,6.0,5.0,Non,Très bon,Automatique,WW au Maroc,132000.0,224999.5,9.0
Mercedes-Benz,Classe CLA,2015.0,Diesel,8.0,5.0,Non,Très bon,Automatique,WW au Maroc,220000.0,134999.5,10.0
Mercedes-Benz,Classe GLC,2017.0,Diesel,9.0,5.0,Oui,Excellent,Automatique,Dédouanée,310000.0,224999.5,8.0
Dacia,Dokker,2019.0,Diesel,6.0,5.0,Non,Excellent,Manuelle,WW au Maroc,118000.0,144999.5,6.0
Citroen,Berlingo,2019.0,Diesel,6.0,5.0,Non,Excellent,Manuelle,WW au Maroc,145000.0,124999.5,6.0
Dacia,Dokker,2016.0,Diesel,6.0,5.0,Oui,Très bon,Manuelle,WW au Maroc,90000.0,114999.5,9.0
Renault,Laguna,1995.0,Diesel,8.0,5.0,Oui,Excellent,Manuelle,Dédouanée,38000.0,2499.5,30.0
Volkswagen,Tiguan,2014.0,Diesel,8.0,5.0,Non,Excellent,Manuelle,Dédouanée,190000.0,174999.5,11.0
Volkswagen,Polo,2004.0,Essence,8.0,5.0,Non,Bon,Manuelle,WW au Maroc,42000.0,7499.5,21.0
Hyundai,i20,2015.0,Diesel,6.0,5.0,Non,Excellent,Manuelle,WW au Maroc,98000.0,154999.5,10.0
Volkswagen,Jetta,2016.0,Diesel,6.0,5.0,Oui,Excellent,Automatique,WW au Maroc,194000.0,154999.5,9.0
Ford,Fiesta,2013.0,Diesel,6.0,5.0,Non,Très bon,Manuelle,WW au Maroc,117000.0,134999.5,12.0
Audi,A3,2014.0,Diesel,6.0,5.0,Non,Très bon,Automatique,WW au Maroc,173000.0,184999.5,11.0
Nissan,Qashqai,2012.0,Diesel,6.0,5.0,Oui,Excellent,Manuelle,WW au Maroc,118000.0,184999.5,13.0
Fiat,500X,2024.0,Essence,8.0,5.0,Non,Excellent,Automatique,WW au Maroc,239000.0,2499.5,1.0
Volkswagen,Tiguan,2018.0,Diesel,8.0,5.0,Non,Excellent,Automatique,WW au Maroc,210000.0,134999.5,7.0
Dacia,Lodgy,2022.0,Diesel,6.0,5.0,Non,Excellent,Manuelle,WW au Maroc,158000.0,87499.5,3.0
Hyundai,Elantra,2017.0,Diesel,6.0,5.0,Non,Très bon,Manuelle,WW au Maroc,147000.0,144999.5,8.0
Dacia,Logan,2021.0,Diesel,6.0,5.0,Non,Excellent,Manuelle,WW au Maroc,116000.0,114999.5,4.0
Hyundai,Accent,2022.0,Diesel,6.0,5.0,Oui,Excellent,Automatique,WW au Maroc,155000.0,82499.5,3.0
Renault,Kangoo,2017.0,Diesel,6.0,5.0,Non,Excellent,Manuelle,WW au Maroc,128000.0,87499.5,8.0
Ford,Focus,2012.0,Diesel,7.0,5.0,Oui,Bon,Manuelle,WW au Maroc,115000.0,224999.5,13.0
Mercedes-Benz,220,1995.0,Diesel,9.0,5.0,Non,Très bon,Manuelle,Dédouanée,60000.0,324999.5,30.0
Hyundai,Santa Fe,2019.0,Diesel,9.0,5.0,Oui,Excellent,Automatique,WW au Maroc,295000.0,104999.5,6.0
Ford,Kuga,2017.0,Diesel,8.0,5.0,Oui,Très bon,Manuelle,WW au Maroc,200000.0,174999.5,8.0
Suzuki,Maruti,2007.0,Essence,5.0,5.0,Non,Excellent,Manuelle,Importée neuve,23000.0,194999.5,18.0
Volkswagen,Golf 2,1986.0,Diesel,7.0,5.0,Non,Très bon,Manuelle,Dédouanée,30000.0,12499.5,39.0
Dacia,Duster,2016.0,Diesel,6.0,5.0,Oui,Neuf,Manuelle,WW au Maroc,139000.0,114999.5,9.0
Volkswagen,Golf 4,2002.0,Diesel,8.0,5.0,Non,Excellent,Manuelle,Dédouanée,70000.0,274999.5,23.0
Dacia,Duster,2015.0,Diesel,6.0,5.0,Oui,Très bon,Manuelle,WW au Maroc,133000.0,52499.5,10.0
Dacia,Logan,2024.0,Diesel,6.0,5.0,Oui,Très bon,Manuelle,WW au Maroc,143000.0,57499.5,1.0
Peugeot,2008,2022.0,Diesel,6.0,5.0,Oui,Excellent,Automatique,WW au Maroc,258000.0,52499.5,3.0
Dacia,Sandero,2020.0,Diesel,6.0,5.0,Oui,Excellent,Manuelle,WW au Maroc,130000.0,62499.5,5.0
Hyundai,i10,2011.0,Essence,6.0,5.0,Non,Bon,Manuelle,WW au Maroc,56000.0,174999.5,14.0
Mercedes-Benz,Classe C,2007.0,Diesel,12.0,5.0,Non,Très bon,Automatique,Dédouanée,98000.0,274999.5,18.0
Kia,Picanto,2007.0,Essence,6.0,5.0,Non,Très bon,Manuelle,WW au Maroc,45000.0,224999.5,18.0
Renault,Clio,2021.0,Diesel,6.0,5.0,Non,Excellent,Manuelle,WW au Maroc,134000.0,114999.5,4.0
Volkswagen,Tiguan,2011.0,Diesel,6.0,5.0,Oui,Neuf,Manuelle,Dédouanée,173000.0,274999.5,14.0
Land Rover,Range Rover Evoque,2013.0,Diesel,9.0,5.0,Oui,Excellent,Automatique,WW au Maroc,185000.0,124999.5,12.0
Volkswagen,Golf 7,2014.0,Diesel,8.0,5.0,Oui,Neuf,Automatique,Dédouanée,203000.0,124999.5,11.0
Renault,R4,1986.0,Essence,5.0,5.0,Non,Bon,Manuelle,Dédouanée,25000.0,2499.5,39.0
Citroen,C4,2006.0,Diesel,6.0,5.0,Non,Neuf,Manuelle,WW au Maroc,72000.0,194999.5,19.0
Audi,A3,2015.0,Essence,8.0,5.0,Non,Très bon,Automatique,Dédouanée,178000.0,22499.5,10.0
Peugeot,208,2017.0,Diesel,6.0,5.0,Non,Excellent,Manuelle,WW au Maroc,116000.0,124999.5,8.0
Volkswagen,Touareg,2013.0,Diesel,12.0,5.0,Non,Excellent,Automatique,WW au Maroc,138000.0,224999.5,12.0
Citroen,C3,2010.0,Diesel,6.0,5.0,Non,Très bon,Manuelle,WW au Maroc,86000.0,224999.5,15.0
Renault,Kangoo,2010.0,Essence,6.0,5.0,Non,Excellent,Manuelle,WW au Maroc,70000.0,104999.5,15.0
Renault,Clio,1990.0,Essence,7.0,5.0,Non,Bon,Manuelle,Dédouanée,27000.0,274999.5,35.0
Fiat,Uno,1995.0,Diesel,17.0,5.0,Oui,Très bon,Manuelle,WW au Maroc,18000.0,2499.5,30.0
Volkswagen,Tiguan,2019.0,Diesel,8.0,5.0,Non,Très bon,Automatique,Dédouanée,349999.0,224999.5,6.0
Ford,Fiesta,2017.0,Diesel,6.0,5.0,Oui,Excellent,Manuelle,WW au Maroc,130000.0,7499.5,8.0
Kia,Picanto,2022.0,Essence,6.0,5.0,Non,Excellent,Manuelle,WW au Maroc,117000.0,62499.5,3.0
Volkswagen,Touareg,2012.0,Diesel,12.0,5.0,Non,Excellent,Automatique,WW au Maroc,124000.0,224999.5,13.0
Dacia,Sandero,2022.0,Diesel,6.0,5.0,Oui,Excellent,Manuelle,WW au Maroc,157000.0,82499.5,3.0
Mercedes-Benz,Classe C,2013.0,Diesel,9.0,5.0,Non,Très bon,Automatique,WW au Maroc,135000.0,274999.5,12.0
Opel,Astra,2019.0,Diesel,5.0,5.0,Non,Excellent,Automatique,WW au Maroc,178000.0,72499.5,6.0
Dacia,Logan,2016.0,Diesel,6.0,5.0,Non,Très bon,Manuelle,WW au Maroc,95000.0,144999.5,9.0
Dacia,Dokker,2015.0,Diesel,6.0,5.0,Non,Excellent,Manuelle,WW au Maroc,112000.0,134999.5,10.0
Volkswagen,Passat CC,2016.0,Diesel,8.0,5.0,Non,Excellent,Manuelle,WW au Maroc,165000.0,154999.5,9.0
Ford,Fiesta,2017.0,Diesel,7.0,5.0,Non,Excellent,Manuelle,WW au Maroc,109000.0,164999.5,8.0
Opel,Corsa,2011.0,Essence,6.0,5.0,Non,Bon,Manuelle,WW au Maroc,65000.0,92499.5,14.0
Dacia,Logan,2018.0,Diesel,6.0,5.0,Non,Très bon,Manuelle,WW au Maroc,96000.0,194999.5,7.0
Ford,Mondeo,2007.0,Diesel,8.0,5.0,Non,Très bon,Manuelle,Dédouanée,93000.0,164999.5,18.0
Foton,Forland,2025.0,Diesel,7.0,5.0,Non,Neuf,Manuelle,WW au Maroc,10000.0,2499.5,0.0
Alfa Romeo,Stelvio,2022.0,Diesel,8.0,5.0,Oui,Excellent,Automatique,WW au Maroc,339000.0,62499.5,3.0
Renault,Megane,2023.0,Diesel,6.0,5.0,Non,Neuf,Automatique,WW au Maroc,266000.0,17499.5,2.0
Peugeot,205,1985.0,Diesel,6.0,3.0,Non,Très bon,Manuelle,Dédouanée,27000.0,2499.5,40.0
Volkswagen,Caravelle,2005.0,Diesel,10.0,5.0,Non,Très bon,Automatique,Dédouanée,155000.0,224999.5,20.0
Toyota,Corolla Cross,2022.0,Hybride,10.0,5.0,Oui,Excellent,Automatique,WW au Maroc,285000.0,62499.5,3.0
Hyundai,Tucson,2022.0,Diesel,6.0,5.0,Oui,Très bon,Automatique,WW au Maroc,297997.0,114999.5,3.0
BMW,X4,2018.0,Diesel,8.0,5.0,Non,Excellent,Automatique,WW au Maroc,325000.0,77499.5,7.0
Mercedes-Benz,220,2010.0,Diesel,8.0,5.0,Oui,Excellent,Manuelle,WW au Maroc,72000.0,274999.5,15.0
Citroen,Berlingo,2017.0,Diesel,6.0,5.0,Non,Très bon,Manuelle,WW au Maroc,125000.0,324999.5,8.0
Mercedes-Benz,Classe B,2018.0,Diesel,6.0,5.0,Non,Excellent,Automatique,WW au Maroc,198000.0,104999.5,7.0
Volvo,S60,2017.0,Diesel,8.0,5.0,Oui,Excellent,Automatique,WW au Maroc,165000.0,194999.5,8.0
Skoda,Octavia,2021.0,Diesel,8.0,3.0,Oui,Excellent,Manuelle,Dédouanée,190000.0,134999.5,4.0
Citroen,C3,2022.0,Diesel,6.0,5.0,Non,Très bon,Manuelle,WW au Maroc,160000.0,77499.5,3.0
Peugeot,407,2010.0,Diesel,8.0,5.0,Non,Très bon,Automatique,WW au Maroc,78000.0,224999.5,15.0
Chevrolet,Aveo,2006.0,Essence,8.0,5.0,Non,Excellent,Manuelle,WW au Maroc,40000.0,224999.5,19.0
Hyundai,Accent,2022.0,Diesel,6.0,5.0,Oui,Excellent,Automatique,WW au Maroc,179000.0,62499.5,3.0
Ford,Fiesta,2016.0,Diesel,6.0,5.0,Non,Très bon,Manuelle,WW au Maroc,98000.0,124999.5,9.0
Dacia,Dokker,2021.0,Diesel,6.0,3.0,Oui,Excellent,Manuelle,WW au Maroc,150000.0,104999.5,4.0
Hyundai,Santa Fe,2019.0,Diesel,8.0,5.0,Non,Très bon,Automatique,WW au Maroc,285000.0,164999.5,6.0
Fiat,Fiorino,2021.0,Diesel,5.0,5.0,Non,Excellent,Manuelle,WW au Maroc,104000.0,144999.5,4.0
Dacia,Duster,2022.0,Diesel,6.0,5.0,Non,Excellent,Automatique,WW au Maroc,215000.0,57499.5,3.0
Volkswagen,Touran,2015.0,Diesel,6.0,5.0,Non,Très bon,Manuelle,Dédouanée,175000.0,17499.5,10.0
Dacia,Duster,2019.0,Diesel,6.0,5.0,Non,Excellent,Manuelle,WW au Maroc,100.0,124999.5,6.0
Seat,Ateca,2020.0,Diesel,8.0,5.0,Oui,Excellent,Automatique,WW au Maroc,290000.0,144999.5,5.0
Mercedes-Benz,220,2014.0,Diesel,9.0,5.0,Non,Excellent,Automatique,Dédouanée,190000.0,194999.5,11.0
BMW,Série 6,2015.0,Diesel,12.0,5.0,Non,Très bon,Automatique,WW au Maroc,230000.0,174999.5,10.0
Renault,Express,2021.0,Diesel,6.0,5.0,Non,Excellent,Manuelle,WW au Maroc,153000.0,154999.5,4.0
Volkswagen,Tiguan,2012.0,Diesel,8.0,5.0,Non,Excellent,Automatique,Dédouanée,175000.0,224999.5,13.0
Hyundai,ix35,2013.0,Diesel,8.0,5.0,Non,Très bon,Automatique,WW au Maroc,130000.0,164999.5,12.0
Opel,Astra,2020.0,Diesel,6.0,5.0,Oui,Excellent,Manuelle,WW au Maroc,165000.0,82499.5,5.0
Volkswagen,Golf 6,2010.0,Diesel,6.0,5.0,Non,Excellent,Automatique,Dédouanée,140000.0,224999.5,15.0
Volkswagen,Touareg,2019.0,Diesel,12.0,5.0,Oui,Excellent,Automatique,WW au Maroc,320000.0,134999.5,6.0
Fiat,500X,2018.0,Diesel,8.0,5.0,Oui,Excellent,Automatique,WW au Maroc,175000.0,77499.5,7.0
Audi,Q5,2013.0,Diesel,8.0,5.0,Non,Excellent,Automatique,Dédouanée,225000.0,224999.5,12.0
Renault,Megane,2022.0,Diesel,6.0,5.0,Oui,Excellent,Automatique,WW au Maroc,205000.0,92499.5,3.0
Renault,Clio,2013.0,Diesel,6.0,5.0,Non,Très bon,Manuelle,WW au Maroc,99000.0,134999.5,12.0
Hyundai,Tucson,2023.0,Diesel,6.0,5.0,Oui,Neuf,Automatique,WW au Maroc,315000.0,27499.5,2.0
Volkswagen,Tiguan,2020.0,Diesel,25.0,5.0,Non,Très bon,Automatique,WW au Maroc,280000.0,224999.5,5.0
Ford,Kuga,2025.0,Diesel,8.0,5.0,Non,Très bon,Manuelle,WW au Maroc,155000.0,184999.5,0.0
Fiat,Uno,1996.0,Essence,6.0,5.0,Non,Excellent,Manuelle,WW au Maroc,26000.0,274999.5,29.0
Kia,Seltos,2020.0,Diesel,6.0,5.0,Non,Très bon,Manuelle,WW au Maroc,188000.0,114999.5,5.0
Renault,Clio,2021.0,Diesel,6.0,5.0,Oui,Excellent,Manuelle,WW au Maroc,135000.0,77499.5,4.0
Dacia,Dokker,2019.0,Diesel,6.0,5.0,Non,Excellent,Manuelle,WW au Maroc,122000.0,164999.5,6.0
Alfa Romeo,Giulietta,2016.0,Diesel,8.0,5.0,Non,Excellent,Automatique,WW au Maroc,147000.0,104999.5,9.0
Skoda,Fabia,2002.0,Essence,8.0,5.0,Non,Excellent,Manuelle,WW au Maroc,45000.0,87499.5,23.0
Volkswagen,Tiguan,2009.0,Diesel,8.0,5.0,Non,Excellent,Automatique,Dédouanée,142000.0,224999.5,16.0
Dacia,Duster,2019.0,Diesel,6.0,5.0,Oui,Excellent,Manuelle,WW au Maroc,165000.0,62499.5,6.0
Ford,Focus,2008.0,Diesel,7.0,5.0,Non,Bon,Manuelle,WW au Maroc,87000.0,274999.5,17.0
Hyundai,Santa Fe,2022.0,Diesel,9.0,5.0,Oui,Bon,Automatique,WW au Maroc,358000.0,82499.5,3.0
Fiat,Siena,2003.0,Diesel,7.0,3.0,Non,Excellent,Manuelle,WW au Maroc,42000.0,7499.5,22.0
Land Rover,Range Rover Evoque,2017.0,Diesel,8.0,5.0,Non,Très bon,Automatique,Dédouanée,250000.0,134999.5,8.0
Hyundai,Accent,2023.0,Diesel,6.0,5.0,Oui,Excellent,Automatique,WW au Maroc,179000.0,67499.5,2.0
Toyota,Yaris,2012.0,Diesel,8.0,3.0,Oui,Très bon,Manuelle,WW au Maroc,70000.0,27499.5,13.0
Maserati,Levante,2017.0,Diesel,12.0,5.0,Non,Excellent,Automatique,WW au Maroc,375000.0,104999.5,8.0
Nissan,Note,2015.0,Diesel,6.0,5.0,Oui,Excellent,Manuelle,Dédouanée,97000.0,7499.5,10.0
Volkswagen,Touareg,2010.0,Diesel,12.0,5.0,Oui,Excellent,Automatique,Importée neuve,129000.0,274999.5,15.0
Volkswagen,Tiguan,2018.0,Diesel,8.0,5.0,Non,Excellent,Automatique,Dédouanée,295000.0,164999.5,7.0
Abarth,595,2022.0,Essence,4.0,3.0,Oui,Excellent,Automatique,WW au Maroc,245000.0,27499.5,3.0
Volkswagen,Golf 7,2015.0,Diesel,8.0,5.0,Non,Excellent,Automatique,Importée neuve,220000.0,224999.5,10.0
Toyota,C-HR,2019.0,Essence,10.0,5.0,Oui,Très bon,Automatique,WW au Maroc,197000.0,52499.5,6.0
Dacia,Logan,2019.0,Diesel,6.0,5.0,Oui,Neuf,Manuelle,WW au Maroc,120000.0,104999.5,6.0
Fiat,Albea,2009.0,Essence,8.0,5.0,Non,Très bon,Manuelle,WW au Maroc,38000.0,224999.5,16.0
Dacia,Logan,2012.0,Diesel,7.0,5.0,Non,Excellent,Manuelle,WW au Maroc,76000.0,2499.5,13.0
Mercedes-Benz,Classe B,2011.0,Diesel,8.0,5.0,Non,Très bon,Manuelle,WW au Maroc,90000.0,224999.5,14.0
Dacia,Duster,2021.0,Diesel,7.0,5.0,Oui,Très bon,Manuelle,WW au Maroc,200000.0,124999.5,4.0
Renault,Clio,2021.0,Diesel,6.0,5.0,Oui,Très bon,Manuelle,WW au Maroc,176000.0,72499.5,4.0
Alfa Romeo,Giulietta,2012.0,Diesel,8.0,5.0,Non,Bon,Manuelle,WW au Maroc,100000.0,274999.5,13.0
Peugeot,3008,2015.0,Diesel,6.0,5.0,Non,Très bon,Manuelle,WW au Maroc,110000.0,164999.5,10.0
Volkswagen,Touran,2013.0,Diesel,10.0,5.0,Non,Bon,Manuelle,Dédouanée,120000.0,32499.5,12.0
Kia,Picanto,2022.0,Essence,6.0,5.0,Oui,Très bon,Manuelle,WW au Maroc,116000.0,47499.5,3.0
Renault,Megane,2008.0,Diesel,7.0,3.0,Non,Très bon,Manuelle,WW au Maroc,72000.0,27499.5,17.0
Renault,19,1990.0,Diesel,7.0,5.0,Non,Excellent,Manuelle,Dédouanée,28000.0,144999.5,35.0
Audi,A4,2013.0,Diesel,8.0,5.0,Oui,Très bon,Automatique,WW au Maroc,138000.0,224999.5,12.0
Fiat,500,2017.0,Diesel,5.0,3.0,Non,Très bon,Manuelle,WW au Maroc,105000.0,82499.5,8.0
Porsche,Cayenne,2012.0,Diesel,12.0,5.0,Non,Excellent,Automatique,Importée neuve,270000.0,224999.5,13.0
Peugeot,Partner,2008.0,Essence,6.0,5.0,Non,Très bon,Manuelle,WW au Maroc,53000.0,324999.5,17.0
Jaguar,XE,2018.0,Diesel,8.0,5.0,Non,Bon,Automatique,WW au Maroc,255000.0,72499.5,7.0
Hyundai,i10,2012.0,Essence,5.0,5.0,Non,Excellent,Manuelle,WW au Maroc,66000.0,164999.5,13.0
Volkswagen,Tiguan,2021.0,Diesel,8.0,5.0,Oui,Excellent,Automatique,WW au Maroc,320000.0,77499.5,4.0
Audi,Q5,2020.0,Diesel,8.0,5.0,Non,Excellent,Automatique,WW au Maroc,378000.0,92499.5,5.0
Volkswagen,Tiguan,2020.0,Diesel,8.0,5.0,Oui,Neuf,Automatique,Dédouanée,380000.0,104999.5,5.0
Volkswagen,Touareg,2019.0,Diesel,12.0,5.0,Oui,Excellent,Automatique,WW au Maroc,320000.0,154999.5,6.0
Mercedes-Benz,Classe CLA,2018.0,Diesel,9.0,5.0,Oui,Excellent,Automatique,Dédouanée,335000.0,164999.5,7.0
Jeep,Grand Cherokee,2016.0,Diesel,12.0,5.0,Non,Bon,Automatique,WW au Maroc,130000.0,224999.5,9.0
Peugeot,208,2023.0,Diesel,7.0,3.0,Oui,Excellent,Manuelle,WW au Maroc,167000.0,42499.5,2.0
Peugeot,208,2022.0,Essence,6.0,5.0,Oui,Excellent,Manuelle,WW au Maroc,129000.0,62499.5,3.0
Renault,Clio,2021.0,Diesel,5.0,5.0,Oui,Excellent,Manuelle,WW au Maroc,150000.0,37499.5,4.0
Volkswagen,Caddy,2020.0,Diesel,8.0,5.0,Non,Excellent,Automatique,Dédouanée,236000.0,224999.5,5.0
Volkswagen,Tiguan,2012.0,Diesel,8.0,5.0,Non,Très bon,Automatique,Dédouanée,168000.0,274999.5,13.0
Mercedes-Benz,Classe A,2021.0,Hybride,8.0,5.0,Oui,Excellent,Automatique,Dédouanée,375000.0,52499.5,4.0
Mini,Cooper,2015.0,Diesel,8.0,5.0,Oui,Excellent,Automatique,WW au Maroc,185000.0,134999.5,10.0
Toyota,Corolla,2021.0,Hybride,9.0,5.0,Oui,Excellent,Automatique,WW au Maroc,189000.0,57499.5,4.0
BMW,Série 1,2014.0,Diesel,6.0,5.0,Non,Excellent,Manuelle,Dédouanée,157000.0,224999.5,11.0
Volkswagen,Touareg,2020.0,Diesel,8.0,5.0,Oui,Excellent,Automatique,WW au Maroc,370000.0,124999.5,5.0
Volkswagen,Polo,2007.0,Diesel,6.0,5.0,Non,Bon,Manuelle,Importée neuve,74000.0,224999.5,18.0
Jeep,Renegade,2018.0,Diesel,6.0,5.0,Oui,Très bon,Manuelle,WW au Maroc,193000.0,52499.5,7.0
Nissan,Juke,2022.0,Essence,6.0,5.0,Oui,Bon,Automatique,WW au Maroc,180000.0,7499.5,3.0
Land Rover,Range Rover Vogue,2013.0,Diesel,18.0,5.0,Oui,Excellent,Automatique,Importée neuve,270000.0,144999.5,12.0
Renault,Master,2013.0,Diesel,9.0,5.0,Non,Très bon,Manuelle,WW au Maroc,135000.0,174999.5,12.0
Peugeot,308,2009.0,Diesel,6.0,5.0,Non,Bon,Manuelle,WW au Maroc,85000.0,27499.5,16.0
Kia,Picanto,2007.0,Essence,5.0,5.0,Oui,Excellent,Manuelle,WW au Maroc,57998.0,97499.5,18.0
Hyundai,ix35,2014.0,Diesel,7.0,5.0,Oui,Excellent,Manuelle,WW au Maroc,153000.0,164999.5,11.0
Ford,Fiesta,2018.0,Essence,5.0,5.0,Non,Très bon,Manuelle,WW au Maroc,112000.0,134999.5,7.0
Fiat,500,2019.0,Essence,6.0,3.0,Non,Très bon,Automatique,WW au Maroc,108000.0,134999.5,6.0
Volkswagen,Passat,2008.0,Diesel,8.0,5.0,Oui,Excellent,Manuelle,WW au Maroc,98000.0,274999.5,17.0
Honda,HR-V,2022.0,Essence,9.0,5.0,Non,Bon,Automatique,WW au Maroc,238000.0,52499.5,3.0
Peugeot,407,2009.0,Diesel,8.0,5.0,Non,Excellent,Automatique,WW au Maroc,69000.0,194999.5,16.0
Volkswagen,Passat,2015.0,Diesel,8.0,5.0,Non,Excellent,Automatique,Dédouanée,182000.0,154999.5,10.0
Renault,Express,1998.0,Diesel,7.0,3.0,Non,Excellent,Manuelle,Dédouanée,45000.0,224999.5,27.0
Dacia,Sandero,2022.0,Diesel,6.0,5.0,Non,Excellent,Manuelle,WW au Maroc,135000.0,82499.5,3.0
Volkswagen,Touareg,2016.0,Diesel,12.0,5.0,Non,Excellent,Automatique,WW au Maroc,162000.0,224999.5,9.0
Volkswagen,Tiguan,2014.0,Diesel,8.0,5.0,Non,Très bon,Automatique,WW au Maroc,167000.0,22499.5,11.0
Hyundai,Accent,2012.0,Diesel,6.0,5.0,Oui,Très bon,Manuelle,WW au Maroc,105000.0,124999.5,13.0
Nissan,Qashqai,2017.0,Diesel,6.0,5.0,Non,Excellent,Manuelle,WW au Maroc,162000.0,274999.5,8.0
Ford,Kuga,2018.0,Diesel,8.0,5.0,Non,Excellent,Manuelle,WW au Maroc,187000.0,134999.5,7.0
Volkswagen,Tiguan,2015.0,Diesel,8.0,5.0,Non,Très bon,Manuelle,Dédouanée,210000.0,92499.5,10.0
Renault,R4,1988.0,Essence,6.0,3.0,Non,Très bon,Manuelle,Dédouanée,27000.0,134999.5,37.0
Peugeot,2008,2017.0,Diesel,6.0,5.0,Oui,Excellent,Manuelle,WW au Maroc,145000.0,97499.5,8.0
Jeep,Renegade,2023.0,Hybride,8.0,5.0,Oui,Excellent,Automatique,WW au Maroc,236900.0,12499.5,2.0
Volkswagen,Touareg,2017.0,Diesel,12.0,5.0,Oui,Excellent,Automatique,WW au Maroc,187000.0,194999.5,8.0
Opel,Combo,2024.0,Diesel,6.0,5.0,Oui,Excellent,Manuelle,WW au Maroc,178000.0,2499.5,1.0
Fiat,500,2022.0,Essence,5.0,5.0,Oui,Excellent,Manuelle,WW au Maroc,120000.0,52499.5,3.0
Hyundai,Accent,2021.0,Diesel,6.0,5.0,Non,Très bon,Automatique,WW au Maroc,138000.0,114999.5,4.0
Hyundai,Tucson,2021.0,Diesel,6.0,5.0,Non,Très bon,Automatique,WW au Maroc,285000.0,134999.5,4.0
