Marque,Modèle,Année,Type de carburant,Puissance fiscale,Nombre de portes,Première main,État,Boîte à vitesses,Origine,Prix,average_km,Âge
Suzuki,Maruti,2008.0,Diesel,5.0,5.0,Non,Bon,Manuelle,WW au Maroc,25000.0,12499.5,17.0
Ford,Focus,2009.0,Essence,9.0,5.0,Non,Excellent,Manuelle,WW au Maroc,58000.0,194999.5,16.0
Mercedes-Benz,Classe C,2015.0,Diesel,7.0,5.0,Non,Très bon,Automatique,WW au Maroc,235000.0,194999.5,10.0
BMW,X3,2012.0,Diesel,8.0,5.0,Oui,Bon,Manuelle,WW au Maroc,170000.0,224999.5,13.0
Toyota,Aygo,2011.0,Essence,6.0,5.0,Oui,Très bon,Manuelle,WW au Maroc,62000.0,114999.5,14.0
Volkswagen,Touran,2007.0,Diesel,8.0,5.0,Non,Très bon,Manuelle,Dédouanée,117000.0,224999.5,18.0
Fiat,Fiorino,2018.0,Diesel,5.0,5.0,Non,Excellent,Manuelle,Pas encore dédouanée,105000.0,154999.5,7.0
Volkswagen,Touareg,2013.0,Diesel,12.0,5.0,Non,Très bon,Automatique,WW au Maroc,137000.0,224999.5,12.0
Volkswagen,Golf 7,2013.0,Diesel,8.0,5.0,Non,Très bon,Manuelle,WW au Maroc,145000.0,184999.5,12.0
Dacia,Dokker,2020.0,Diesel,6.0,5.0,Oui,Excellent,Manuelle,WW au Maroc,120000.0,104999.5,5.0
Jeep,Compass,2022.0,Diesel,6.0,5.0,Oui,Excellent,Manuelle,WW au Maroc,225000.0,47499.5,3.0
Peugeot,205,1988.0,Diesel,7.0,5.0,Non,Très bon,Manuelle,Dédouanée,28000.0,324999.5,37.0
Fiat,Doblo,2015.0,Diesel,6.0,5.0,Non,Bon,Manuelle,WW au Maroc,68000.0,7499.5,10.0
Fiat,500,2017.0,Diesel,5.0,3.0,Non,Très bon,Manuelle,WW au Maroc,99000.0,114999.5,8.0
Renault,Megane,2019.0,Diesel,6.0,5.0,Oui,Excellent,Automatique,WW au Maroc,168000.0,144999.5,6.0
Fiat,Fiorino,2017.0,Diesel,7.0,5.0,Non,Excellent,Manuelle,Importée neuve,99000.0,184999.5,8.0
Volkswagen,Passat,2009.0,Diesel,8.0,5.0,Non,Excellent,Automatique,Importée neuve,105000.0,224999.5,16.0
Peugeot,Boxer,2019.0,Diesel,9.0,5.0,Oui,Très bon,Manuelle,WW au Maroc,175000.0,144999.5,6.0
Ford,Kuga,2012.0,Diesel,8.0,5.0,Oui,Excellent,Automatique,WW au Maroc,125000.0,224999.5,13.0
Peugeot,208,2013.0,Diesel,6.0,5.0,Non,Très bon,Manuelle,WW au Maroc,81000.0,274999.5,12.0
Renault,Clio,2020.0,Diesel,6.0,5.0,Oui,Excellent,Automatique,WW au Maroc,140000.0,82499.5,5.0
Peugeot,Partner,2005.0,Diesel,7.0,5.0,Non,Très bon,Manuelle,WW au Maroc,50000.0,27499.5,20.0
Peugeot,Rifter,2020.0,Diesel,6.0,5.0,Non,Excellent,Manuelle,WW au Maroc,168000.0,2499.5,5.0
Peugeot,Partner,2012.0,Diesel,6.0,5.0,Non,Très bon,Manuelle,WW au Maroc,90000.0,17499.5,13.0
Chevrolet,Optra,2005.0,Essence,9.0,5.0,Non,Bon,Manuelle,WW au Maroc,28000.0,324999.5,20.0
Renault,Clio,2016.0,Essence,7.0,5.0,Non,Très bon,Manuelle,WW au Maroc,85000.0,124999.5,9.0
Citroen,C4,2022.0,Diesel,6.0,5.0,Oui,Excellent,Automatique,WW au Maroc,225000.0,104999.5,3.0
BMW,Série 1,2022.0,Diesel,7.0,5.0,Non,Très bon,Automatique,WW au Maroc,365000.0,42499.5,3.0
Ford,Focus,2017.0,Diesel,6.0,5.0,Non,Très bon,Manuelle,WW au Maroc,135000.0,164999.5,8.0
Renault,Clio,2021.0,Essence,6.0,5.0,Oui,Bon,Automatique,WW au Maroc,140000.0,114999.5,4.0
Audi,A3,2017.0,Diesel,8.0,5.0,Non,Excellent,Automatique,WW au Maroc,215000.0,224999.5,8.0
Kia,Sportage,2021.0,Diesel,8.0,5.0,Oui,Excellent,Automatique,WW au Maroc,272000.0,32499.5,4.0
Mini,Cooper,2017.0,Essence,9.0,3.0,Oui,Bon,Manuelle,WW au Maroc,172000.0,57499.5,8.0
Volkswagen,Golf 8,2021.0,Essence,11.0,5.0,Oui,Très bon,Automatique,Dédouanée,395000.0,114999.5,4.0
Audi,A6,2020.0,Diesel,8.0,5.0,Non,Très bon,Automatique,WW au Maroc,370000.0,77499.5,5.0
Ssangyong,Actyon,2008.0,Diesel,8.0,5.0,Non,Très bon,Manuelle,WW au Maroc,46000.0,274999.5,17.0
Renault,Express,2022.0,Diesel,6.0,5.0,Oui,Excellent,Manuelle,WW au Maroc,150000.0,82499.5,3.0
BMW,Série 5,2018.0,Diesel,8.0,5.0,Non,Excellent,Automatique,WW au Maroc,285000.0,164999.5,7.0
Kia,Picanto,2009.0,Essence,6.0,5.0,Non,Très bon,Manuelle,WW au Maroc,59000.0,194999.5,16.0
Citroen,Berlingo,2022.0,Diesel,6.0,3.0,Oui,Bon,Manuelle,WW au Maroc,175000.0,124999.5,3.0
Peugeot,206,2005.0,Diesel,6.0,5.0,Non,Bon,Manuelle,WW au Maroc,57000.0,324999.5,20.0
Dacia,Logan,2021.0,Diesel,6.0,5.0,Oui,Très bon,Manuelle,WW au Maroc,126000.0,104999.5,4.0
Volvo,XC40,2023.0,Essence,11.0,5.0,Oui,Excellent,Automatique,WW au Maroc,330000.0,22499.5,2.0
Volkswagen,Passat,2008.0,Diesel,8.0,5.0,Oui,Excellent,Manuelle,Dédouanée,100000.0,22499.5,17.0
Seat,Leon,2014.0,Diesel,6.0,5.0,Non,Très bon,Manuelle,WW au Maroc,135000.0,154999.5,11.0
Honda,Jazz,2004.0,Essence,8.0,5.0,Non,Bon,Manuelle,WW au Maroc,40000.0,164999.5,21.0
Renault,Megane,2018.0,Diesel,6.0,5.0,Non,Très bon,Manuelle,WW au Maroc,150000.0,104999.5,7.0
Volkswagen,Polo,2005.0,Diesel,8.0,5.0,Non,Très bon,Manuelle,WW au Maroc,59000.0,224999.5,20.0
Hyundai,Accent,2022.0,Diesel,6.0,5.0,Oui,Bon,Automatique,WW au Maroc,205000.0,47499.5,3.0
Volkswagen,Arteon,2019.0,Diesel,8.0,5.0,Oui,Excellent,Automatique,WW au Maroc,260000.0,82499.5,6.0
