Marque,Modèle,Type de carburant,Puissance fiscale,Nombre de portes,Première main,État,Boîte à vitesses,Origine,Prix,average_km,Âge
Jeep,Renegade,Diesel,6.0,5,Oui,Excellent,Automatique,WW au Maroc,195000,57499.5,4
Dacia,Sandero,Diesel,6.0,5,Non,Très bon,Manuelle,WW au Maroc,112000,154999.5,6
Volkswagen,Tiguan,Diesel,8.0,5,Oui,Excellent,Manuelle,Dédouanée,210000,154999.5,9
Mercedes-Benz,Classe A,Diesel,6.0,5,Oui,Très bon,Automatique,WW au Maroc,179000,144999.5,10
Volkswagen,Tiguan,Diesel,8.0,5,Oui,Excellent,Automatique,Dédouanée,279000,224999.5,7
Renault,Symbol,Diesel,6.0,5,Non,Excellent,Manuelle,WW au Maroc,70000,22499.5,12
Dacia,Duster,Diesel,6.0,5,Non,Bon,Automatique,WW au Maroc,150000,77499.5,7
Mercedes-Benz,270,Diesel,11.0,5,Oui,Excellent,Automatique,Dédouanée,60000,194999.5,18
Volkswagen,Touareg,Diesel,12.0,5,Non,Excellent,Automatique,WW au Maroc,169000,194999.5,9
Fiat,500X,Essence,8.0,5,Non,Excellent,Automatique,WW au Maroc,210000,27499.5,3
Skoda,Kodiaq,Diesel,8.0,5,Non,Excellent,Automatique,WW au Maroc,315000,47499.5,5
Renault,Megane,Diesel,7.0,5,Non,Excellent,Manuelle,WW au Maroc,98000,224999.5,14
Hyundai,i30,LPG,6.0,5,Oui,Très bon,Manuelle,WW au Maroc,135000,174999.5,10
Audi,A7,Diesel,12.0,5,Non,Bon,Automatique,WW au Maroc,189000,104999.5,11
Volkswagen,Golf 7,Diesel,8.0,5,Non,Excellent,Automatique,Dédouanée,289000,164999.5,8
Mercedes-Benz,Classe E,Diesel,8.0,5,Oui,Excellent,Automatique,Dédouanée,330000,224999.5,9
Dacia,Dokker,Diesel,6.0,5,Non,Très bon,Manuelle,WW au Maroc,135000,124999.5,4
Renault,Express,Diesel,6.0,5,Non,Bon,Manuelle,WW au Maroc,155000,72499.5,3
Opel,Antara,Diesel,8.0,5,Non,Très bon,Manuelle,Dédouanée,90000,224999.5,15
Renault,Laguna,Diesel,7.0,5,Non,Excellent,Manuelle,WW au Maroc,66000,2499.5,20
Renault,Express,Diesel,5.0,5,Oui,Excellent,Manuelle,WW au Maroc,165000,82499.5,3
Volkswagen,Passat CC,Diesel,8.0,5,Non,Excellent,Automatique,WW au Maroc,179000,194999.5,9
Skoda,Octavia,Diesel,8.0,5,Non,Très bon,Manuelle,WW au Maroc,143000,224999.5,9
Ford,Mondeo,Essence,11.0,5,Non,Excellent,Automatique,WW au Maroc,80000,72499.5,14
Mini,CountryMan,Diesel,6.0,5,Non,Excellent,Manuelle,WW au Maroc,195000,114999.5,7
Renault,Megane,Diesel,6.0,5,Oui,Très bon,Automatique,WW au Maroc,168000,144999.5,6
Volkswagen,Polo,Essence,6.0,5,Non,Très bon,Manuelle,WW au Maroc,69000,104999.5,16
Volkswagen,Golf 7,Diesel,8.0,5,Non,Excellent,Automatique,WW au Maroc,218000,92499.5,6
Mercedes-Benz,Classe B,Diesel,6.0,5,Non,Excellent,Automatique,WW au Maroc,150000,124999.5,11
Dacia,Sandero,Essence,6.0,5,Oui,Très bon,Automatique,WW au Maroc,140000,22499.5,2
Volkswagen,Jetta,Diesel,8.0,5,Oui,Excellent,Automatique,WW au Maroc,187000,97499.5,6
Dacia,Logan,Diesel,6.0,5,Oui,Excellent,Automatique,WW au Maroc,115000,27499.5,2
Peugeot,208,Diesel,6.0,5,Non,Excellent,Manuelle,WW au Maroc,163000,12499.5,2
Ford,Kuga,Diesel,6.0,5,Oui,Excellent,Automatique,WW au Maroc,280000,72499.5,4
Fiat,500,Essence,7.0,3,Non,Excellent,Automatique,WW au Maroc,95000,37499.5,12
Renault,Latitude,Diesel,8.0,5,Non,Très bon,Automatique,WW au Maroc,73000,274999.5,13
Peugeot,2008,Diesel,6.0,5,Non,Excellent,Manuelle,WW au Maroc,138000,134999.5,9
Volkswagen,Golf 8,Diesel,8.0,5,Oui,Très bon,Automatique,WW au Maroc,310000,62499.5,2
Kia,Ceed,Diesel,6.0,5,Non,Très bon,Manuelle,WW au Maroc,108000,224999.5,10
Fiat,Punto,Diesel,5.0,5,Non,Excellent,Manuelle,WW au Maroc,77000,104999.5,11
Nissan,Qashqai,Diesel,6.0,5,Non,Bon,Automatique,WW au Maroc,235000,114999.5,4
Fiat,500,Essence,7.0,3,Non,Excellent,Automatique,WW au Maroc,162000,22499.5,1
BMW,X1,Diesel,8.0,5,Non,Bon,Automatique,Dédouanée,145000,124999.5,15
Dacia,Dokker,Diesel,6.0,5,Oui,Très bon,Manuelle,WW au Maroc,146000,104999.5,4
Renault,Koleos,Essence,14.0,5,Oui,Excellent,Automatique,Dédouanée,200000,17499.5,6
Opel,Astra,Diesel,7.0,5,Non,Très bon,Manuelle,WW au Maroc,108000,274999.5,11
Renault,Clio,Diesel,6.0,5,Non,Très bon,Automatique,WW au Maroc,119000,144999.5,8
Dacia,Duster,Diesel,6.0,5,Oui,Très bon,Automatique,WW au Maroc,162000,82499.5,5
Mercedes-Benz,Classe A,Diesel,6.0,5,Oui,Très bon,Automatique,WW au Maroc,220000,82499.5,8
Peugeot,206,Diesel,6.0,5,Non,Bon,Manuelle,Dédouanée,60000,224999.5,21
Hyundai,i30,Diesel,6.0,5,Non,Très bon,Automatique,WW au Maroc,132000,224999.5,9
Mercedes-Benz,Classe CLA,Diesel,8.0,5,Non,Très bon,Automatique,WW au Maroc,220000,134999.5,10
Mercedes-Benz,Classe GLC,Diesel,9.0,5,Oui,Excellent,Automatique,Dédouanée,310000,224999.5,8
Dacia,Dokker,Diesel,6.0,5,Non,Excellent,Manuelle,WW au Maroc,118000,144999.5,6
Citroen,Berlingo,Diesel,6.0,5,Non,Excellent,Manuelle,WW au Maroc,145000,124999.5,6
Dacia,Dokker,Diesel,6.0,5,Oui,Très bon,Manuelle,WW au Maroc,90000,114999.5,9
Renault,Laguna,Diesel,8.0,5,Oui,Excellent,Manuelle,Dédouanée,38000,2499.5,30
Volkswagen,Tiguan,Diesel,8.0,5,Non,Excellent,Manuelle,Dédouanée,190000,174999.5,11
Volkswagen,Polo,Essence,8.0,5,Non,Bon,Manuelle,WW au Maroc,42000,7499.5,21
Hyundai,i20,Diesel,6.0,5,Non,Excellent,Manuelle,WW au Maroc,98000,154999.5,10
Volkswagen,Jetta,Diesel,6.0,5,Oui,Excellent,Automatique,WW au Maroc,194000,154999.5,9
Ford,Fiesta,Diesel,6.0,5,Non,Très bon,Manuelle,WW au Maroc,117000,134999.5,12
Audi,A3,Diesel,6.0,5,Non,Très bon,Automatique,WW au Maroc,173000,184999.5,11
Nissan,Qashqai,Diesel,6.0,5,Oui,Excellent,Manuelle,WW au Maroc,118000,184999.5,13
Fiat,500X,Essence,8.0,5,Non,Excellent,Automatique,WW au Maroc,239000,2499.5,1
Volkswagen,Tiguan,Diesel,8.0,5,Non,Excellent,Automatique,WW au Maroc,210000,134999.5,7
Dacia,Lodgy,Diesel,6.0,5,Non,Excellent,Manuelle,WW au Maroc,158000,87499.5,3
Hyundai,Elantra,Diesel,6.0,5,Non,Très bon,Manuelle,WW au Maroc,147000,144999.5,8
Dacia,Logan,Diesel,6.0,5,Non,Excellent,Manuelle,WW au Maroc,116000,114999.5,4
Hyundai,Accent,Diesel,6.0,5,Oui,Excellent,Automatique,WW au Maroc,155000,82499.5,3
Renault,Kangoo,Diesel,6.0,5,Non,Excellent,Manuelle,WW au Maroc,128000,87499.5,8
Ford,Focus,Diesel,7.0,5,Oui,Bon,Manuelle,WW au Maroc,115000,224999.5,13
Mercedes-Benz,220,Diesel,9.0,5,Non,Très bon,Manuelle,Dédouanée,60000,324999.5,30
Hyundai,Santa Fe,Diesel,9.0,5,Oui,Excellent,Automatique,WW au Maroc,295000,104999.5,6
Ford,Kuga,Diesel,8.0,5,Oui,Très bon,Manuelle,WW au Maroc,200000,174999.5,8
Suzuki,Maruti,Essence,5.0,5,Non,Excellent,Manuelle,Importée neuve,23000,194999.5,18
Dacia,Duster,Diesel,6.0,5,Oui,Neuf,Manuelle,WW au Maroc,139000,114999.5,9
Volkswagen,Golf 4,Diesel,8.0,5,Non,Excellent,Manuelle,Dédouanée,70000,274999.5,23
Dacia,Duster,Diesel,6.0,5,Oui,Très bon,Manuelle,WW au Maroc,133000,52499.5,10
Dacia,Logan,Diesel,6.0,5,Oui,Très bon,Manuelle,WW au Maroc,143000,57499.5,1
Peugeot,2008,Diesel,6.0,5,Oui,Excellent,Automatique,WW au Maroc,258000,52499.5,3
Dacia,Sandero,Diesel,6.0,5,Oui,Excellent,Manuelle,WW au Maroc,130000,62499.5,5
Hyundai,i10,Essence,6.0,5,Non,Bon,Manuelle,WW au Maroc,56000,174999.5,14
Mercedes-Benz,Classe C,Diesel,12.0,5,Non,Très bon,Automatique,Dédouanée,98000,274999.5,18
Kia,Picanto,Essence,6.0,5,Non,Très bon,Manuelle,WW au Maroc,45000,224999.5,18
Renault,Clio,Diesel,6.0,5,Non,Excellent,Manuelle,WW au Maroc,134000,114999.5,4
Volkswagen,Tiguan,Diesel,6.0,5,Oui,Neuf,Manuelle,Dédouanée,173000,274999.5,14
Land Rover,Range Rover Evoque,Diesel,9.0,5,Oui,Excellent,Automatique,WW au Maroc,185000,124999.5,12
Volkswagen,Golf 7,Diesel,8.0,5,Oui,Neuf,Automatique,Dédouanée,203000,124999.5,11
Citroen,C4,Diesel,6.0,5,Non,Neuf,Manuelle,WW au Maroc,72000,194999.5,19
Audi,A3,Essence,8.0,5,Non,Très bon,Automatique,Dédouanée,178000,22499.5,10
Peugeot,208,Diesel,6.0,5,Non,Excellent,Manuelle,WW au Maroc,116000,124999.5,8
Volkswagen,Touareg,Diesel,12.0,5,Non,Excellent,Automatique,WW au Maroc,138000,224999.5,12
Audi,A6,Diesel,11.0,5,Non,Très bon,Automatique,WW au Maroc,69000,374999.5,17
Citroen,C3,Diesel,6.0,5,Non,Très bon,Manuelle,WW au Maroc,86000,224999.5,15
Renault,Kangoo,Essence,6.0,5,Non,Excellent,Manuelle,WW au Maroc,70000,104999.5,15
Fiat,Uno,Diesel,17.0,5,Oui,Très bon,Manuelle,WW au Maroc,18000,2499.5,30
Volkswagen,Tiguan,Diesel,8.0,5,Non,Très bon,Automatique,Dédouanée,349999,224999.5,6
Ford,Fiesta,Diesel,6.0,5,Oui,Excellent,Manuelle,WW au Maroc,130000,7499.5,8
Kia,Picanto,Essence,6.0,5,Non,Excellent,Manuelle,WW au Maroc,117000,62499.5,3
Volkswagen,Touareg,Diesel,12.0,5,Non,Excellent,Automatique,WW au Maroc,124000,224999.5,13
Dacia,Sandero,Diesel,6.0,5,Oui,Excellent,Manuelle,WW au Maroc,157000,82499.5,3
Mercedes-Benz,Classe C,Diesel,9.0,5,Non,Très bon,Automatique,WW au Maroc,135000,274999.5,12
Opel,Astra,Diesel,5.0,5,Non,Excellent,Automatique,WW au Maroc,178000,72499.5,6
Dacia,Logan,Diesel,6.0,5,Non,Très bon,Manuelle,WW au Maroc,95000,144999.5,9
Dacia,Dokker,Diesel,6.0,5,Non,Excellent,Manuelle,WW au Maroc,112000,134999.5,10
Volkswagen,Passat CC,Diesel,8.0,5,Non,Excellent,Manuelle,WW au Maroc,165000,154999.5,9
Ford,Fiesta,Diesel,7.0,5,Non,Excellent,Manuelle,WW au Maroc,109000,164999.5,8
Opel,Corsa,Essence,6.0,5,Non,Bon,Manuelle,WW au Maroc,65000,92499.5,14
Dacia,Logan,Diesel,6.0,5,Non,Très bon,Manuelle,WW au Maroc,96000,194999.5,7
Ford,Mondeo,Diesel,8.0,5,Non,Très bon,Manuelle,Dédouanée,93000,164999.5,18
Foton,Forland,Diesel,7.0,5,Non,Neuf,Manuelle,WW au Maroc,10000,2499.5,0
Alfa Romeo,Stelvio,Diesel,8.0,5,Oui,Excellent,Automatique,WW au Maroc,339000,62499.5,3
Renault,Megane,Diesel,6.0,5,Non,Neuf,Automatique,WW au Maroc,266000,17499.5,2
Volkswagen,Caravelle,Diesel,10.0,5,Non,Très bon,Automatique,Dédouanée,155000,224999.5,20
Toyota,Corolla Cross,Hybride,10.0,5,Oui,Excellent,Automatique,WW au Maroc,285000,62499.5,3
Hyundai,Tucson,Diesel,6.0,5,Oui,Très bon,Automatique,WW au Maroc,297997,114999.5,3
BMW,X4,Diesel,8.0,5,Non,Excellent,Automatique,WW au Maroc,325000,77499.5,7
Mercedes-Benz,220,Diesel,8.0,5,Oui,Excellent,Manuelle,WW au Maroc,72000,274999.5,15
Citroen,Berlingo,Diesel,6.0,5,Non,Très bon,Manuelle,WW au Maroc,125000,324999.5,8
Mercedes-Benz,Classe B,Diesel,6.0,5,Non,Excellent,Automatique,WW au Maroc,198000,104999.5,7
Volvo,S60,Diesel,8.0,5,Oui,Excellent,Automatique,WW au Maroc,165000,194999.5,8
Skoda,Octavia,Diesel,8.0,3,Oui,Excellent,Manuelle,Dédouanée,190000,134999.5,4
Citroen,C3,Diesel,6.0,5,Non,Très bon,Manuelle,WW au Maroc,160000,77499.5,3
Peugeot,407,Diesel,8.0,5,Non,Très bon,Automatique,WW au Maroc,78000,224999.5,15
Chevrolet,Aveo,Essence,8.0,5,Non,Excellent,Manuelle,WW au Maroc,40000,224999.5,19
Hyundai,Accent,Diesel,6.0,5,Oui,Excellent,Automatique,WW au Maroc,179000,62499.5,3
Ford,Fiesta,Diesel,6.0,5,Non,Très bon,Manuelle,WW au Maroc,98000,124999.5,9
Dacia,Dokker,Diesel,6.0,3,Oui,Excellent,Manuelle,WW au Maroc,150000,104999.5,4
Hyundai,Santa Fe,Diesel,8.0,5,Non,Très bon,Automatique,WW au Maroc,285000,164999.5,6
Fiat,Fiorino,Diesel,5.0,5,Non,Excellent,Manuelle,WW au Maroc,104000,144999.5,4
Dacia,Duster,Diesel,6.0,5,Non,Excellent,Automatique,WW au Maroc,215000,57499.5,3
Volkswagen,Touran,Diesel,6.0,5,Non,Très bon,Manuelle,Dédouanée,175000,17499.5,10
Dacia,Duster,Diesel,6.0,5,Non,Excellent,Manuelle,WW au Maroc,100,124999.5,6
Seat,Ateca,Diesel,8.0,5,Oui,Excellent,Automatique,WW au Maroc,290000,144999.5,5
Mercedes-Benz,220,Diesel,9.0,5,Non,Excellent,Automatique,Dédouanée,190000,194999.5,11
BMW,Série 6,Diesel,12.0,5,Non,Très bon,Automatique,WW au Maroc,230000,174999.5,10
Renault,Express,Diesel,6.0,5,Non,Excellent,Manuelle,WW au Maroc,153000,154999.5,4
Volkswagen,Tiguan,Diesel,8.0,5,Non,Excellent,Automatique,Dédouanée,175000,224999.5,13
Hyundai,ix35,Diesel,8.0,5,Non,Très bon,Automatique,WW au Maroc,130000,164999.5,12
Opel,Astra,Diesel,6.0,5,Oui,Excellent,Manuelle,WW au Maroc,165000,82499.5,5
Volkswagen,Golf 6,Diesel,6.0,5,Non,Excellent,Automatique,Dédouanée,140000,224999.5,15
Volkswagen,Touareg,Diesel,12.0,5,Oui,Excellent,Automatique,WW au Maroc,320000,134999.5,6
Fiat,500X,Diesel,8.0,5,Oui,Excellent,Automatique,WW au Maroc,175000,77499.5,7
Audi,Q5,Diesel,8.0,5,Non,Excellent,Automatique,Dédouanée,225000,224999.5,12
Renault,Megane,Diesel,6.0,5,Oui,Excellent,Automatique,WW au Maroc,205000,92499.5,3
Renault,Clio,Diesel,6.0,5,Non,Très bon,Manuelle,WW au Maroc,99000,134999.5,12
Hyundai,Tucson,Diesel,6.0,5,Oui,Neuf,Automatique,WW au Maroc,315000,27499.5,2
Ford,Kuga,Diesel,8.0,5,Non,Très bon,Manuelle,WW au Maroc,155000,184999.5,0
Fiat,Uno,Essence,6.0,5,Non,Excellent,Manuelle,WW au Maroc,26000,274999.5,29
Kia,Seltos,Diesel,6.0,5,Non,Très bon,Manuelle,WW au Maroc,188000,114999.5,5
Renault,Clio,Diesel,6.0,5,Oui,Excellent,Manuelle,WW au Maroc,135000,77499.5,4
Dacia,Dokker,Diesel,6.0,5,Non,Excellent,Manuelle,WW au Maroc,122000,164999.5,6
Alfa Romeo,Giulietta,Diesel,8.0,5,Non,Excellent,Automatique,WW au Maroc,147000,104999.5,9
Skoda,Fabia,Essence,8.0,5,Non,Excellent,Manuelle,WW au Maroc,45000,87499.5,23
Volkswagen,Tiguan,Diesel,8.0,5,Non,Excellent,Automatique,Dédouanée,142000,224999.5,16
Dacia,Duster,Diesel,6.0,5,Oui,Excellent,Manuelle,WW au Maroc,165000,62499.5,6
Ford,Focus,Diesel,7.0,5,Non,Bon,Manuelle,WW au Maroc,87000,274999.5,17
Fiat,Siena,Diesel,7.0,3,Non,Excellent,Manuelle,WW au Maroc,42000,7499.5,22
Land Rover,Range Rover Evoque,Diesel,8.0,5,Non,Très bon,Automatique,Dédouanée,250000,134999.5,8
Hyundai,Accent,Diesel,6.0,5,Oui,Excellent,Automatique,WW au Maroc,179000,67499.5,2
Toyota,Yaris,Diesel,8.0,3,Oui,Très bon,Manuelle,WW au Maroc,70000,27499.5,13
Nissan,Note,Diesel,6.0,5,Oui,Excellent,Manuelle,Dédouanée,97000,7499.5,10
Volkswagen,Touareg,Diesel,12.0,5,Oui,Excellent,Automatique,Importée neuve,129000,274999.5,15
Volkswagen,Tiguan,Diesel,8.0,5,Non,Excellent,Automatique,Dédouanée,295000,164999.5,7
Abarth,595,Essence,4.0,3,Oui,Excellent,Automatique,WW au Maroc,245000,27499.5,3
Volkswagen,Golf 7,Diesel,8.0,5,Non,Excellent,Automatique,Importée neuve,220000,224999.5,10
Toyota,C-HR,Essence,10.0,5,Oui,Très bon,Automatique,WW au Maroc,197000,52499.5,6
Dacia,Logan,Diesel,6.0,5,Oui,Neuf,Manuelle,WW au Maroc,120000,104999.5,6
Fiat,Albea,Essence,8.0,5,Non,Très bon,Manuelle,WW au Maroc,38000,224999.5,16
Dacia,Logan,Diesel,7.0,5,Non,Excellent,Manuelle,WW au Maroc,76000,2499.5,13
Mercedes-Benz,Classe B,Diesel,8.0,5,Non,Très bon,Manuelle,WW au Maroc,90000,224999.5,14
Dacia,Duster,Diesel,7.0,5,Oui,Très bon,Manuelle,WW au Maroc,200000,124999.5,4
Renault,Clio,Diesel,6.0,5,Oui,Très bon,Manuelle,WW au Maroc,176000,72499.5,4
Alfa Romeo,Giulietta,Diesel,8.0,5,Non,Bon,Manuelle,WW au Maroc,100000,274999.5,13
Peugeot,3008,Diesel,6.0,5,Non,Très bon,Manuelle,WW au Maroc,110000,164999.5,10
Volkswagen,Touran,Diesel,10.0,5,Non,Bon,Manuelle,Dédouanée,120000,32499.5,12
Kia,Picanto,Essence,6.0,5,Oui,Très bon,Manuelle,WW au Maroc,116000,47499.5,3
Renault,Megane,Diesel,7.0,3,Non,Très bon,Manuelle,WW au Maroc,72000,27499.5,17
Audi,A4,Diesel,8.0,5,Oui,Très bon,Automatique,WW au Maroc,138000,224999.5,12
Fiat,500,Diesel,5.0,3,Non,Très bon,Manuelle,WW au Maroc,105000,82499.5,8
Porsche,Cayenne,Diesel,12.0,5,Non,Excellent,Automatique,Importée neuve,270000,224999.5,13
Peugeot,Partner,Essence,6.0,5,Non,Très bon,Manuelle,WW au Maroc,53000,324999.5,17
Jaguar,XE,Diesel,8.0,5,Non,Bon,Automatique,WW au Maroc,255000,72499.5,7
Hyundai,i10,Essence,5.0,5,Non,Excellent,Manuelle,WW au Maroc,66000,164999.5,13
Volkswagen,Tiguan,Diesel,8.0,5,Oui,Excellent,Automatique,WW au Maroc,320000,77499.5,4
Volkswagen,Touareg,Diesel,12.0,5,Oui,Excellent,Automatique,WW au Maroc,320000,154999.5,6
Mercedes-Benz,Classe CLA,Diesel,9.0,5,Oui,Excellent,Automatique,Dédouanée,335000,164999.5,7
Jeep,Grand Cherokee,Diesel,12.0,5,Non,Bon,Automatique,WW au Maroc,130000,224999.5,9
Peugeot,208,Diesel,7.0,3,Oui,Excellent,Manuelle,WW au Maroc,167000,42499.5,2
Peugeot,208,Essence,6.0,5,Oui,Excellent,Manuelle,WW au Maroc,129000,62499.5,3
Renault,Clio,Diesel,5.0,5,Oui,Excellent,Manuelle,WW au Maroc,150000,37499.5,4
Volkswagen,Caddy,Diesel,8.0,5,Non,Excellent,Automatique,Dédouanée,236000,224999.5,5
Volkswagen,Tiguan,Diesel,8.0,5,Non,Très bon,Automatique,Dédouanée,168000,274999.5,13
Mini,Cooper,Diesel,8.0,5,Oui,Excellent,Automatique,WW au Maroc,185000,134999.5,10
Toyota,Corolla,Hybride,9.0,5,Oui,Excellent,Automatique,WW au Maroc,189000,57499.5,4
BMW,Série 1,Diesel,6.0,5,Non,Excellent,Manuelle,Dédouanée,157000,224999.5,11
Volkswagen,Polo,Diesel,6.0,5,Non,Bon,Manuelle,Importée neuve,74000,224999.5,18
Jeep,Renegade,Diesel,6.0,5,Oui,Très bon,Manuelle,WW au Maroc,193000,52499.5,7
Nissan,Juke,Essence,6.0,5,Oui,Bon,Automatique,WW au Maroc,180000,7499.5,3
Land Rover,Range Rover Vogue,Diesel,18.0,5,Oui,Excellent,Automatique,Importée neuve,270000,144999.5,12
Renault,Master,Diesel,9.0,5,Non,Très bon,Manuelle,WW au Maroc,135000,174999.5,12
Peugeot,308,Diesel,6.0,5,Non,Bon,Manuelle,WW au Maroc,85000,27499.5,16
Kia,Picanto,Essence,5.0,5,Oui,Excellent,Manuelle,WW au Maroc,57998,97499.5,18
Hyundai,ix35,Diesel,7.0,5,Oui,Excellent,Manuelle,WW au Maroc,153000,164999.5,11
Ford,Fiesta,Essence,5.0,5,Non,Très bon,Manuelle,WW au Maroc,112000,134999.5,7
Fiat,500,Essence,6.0,3,Non,Très bon,Automatique,WW au Maroc,108000,134999.5,6
Volkswagen,Passat,Diesel,8.0,5,Oui,Excellent,Manuelle,WW au Maroc,98000,274999.5,17
Honda,HR-V,Essence,9.0,5,Non,Bon,Automatique,WW au Maroc,238000,52499.5,3
Peugeot,407,Diesel,8.0,5,Non,Excellent,Automatique,WW au Maroc,69000,194999.5,16
Volkswagen,Passat,Diesel,8.0,5,Non,Excellent,Automatique,Dédouanée,182000,154999.5,10
Renault,Express,Diesel,7.0,3,Non,Excellent,Manuelle,Dédouanée,45000,224999.5,27
Dacia,Sandero,Diesel,6.0,5,Non,Excellent,Manuelle,WW au Maroc,135000,82499.5,3
Volkswagen,Touareg,Diesel,12.0,5,Non,Excellent,Automatique,WW au Maroc,162000,224999.5,9
Volkswagen,Tiguan,Diesel,8.0,5,Non,Très bon,Automatique,WW au Maroc,167000,22499.5,11
Hyundai,Accent,Diesel,6.0,5,Oui,Très bon,Manuelle,WW au Maroc,105000,124999.5,13
Nissan,Qashqai,Diesel,6.0,5,Non,Excellent,Manuelle,WW au Maroc,162000,274999.5,8
Ford,Kuga,Diesel,8.0,5,Non,Excellent,Manuelle,WW au Maroc,187000,134999.5,7
Volkswagen,Tiguan,Diesel,8.0,5,Non,Très bon,Manuelle,Dédouanée,210000,92499.5,10
Peugeot,2008,Diesel,6.0,5,Oui,Excellent,Manuelle,WW au Maroc,145000,97499.5,8
Jeep,Renegade,Hybride,8.0,5,Oui,Excellent,Automatique,WW au Maroc,236900,12499.5,2
Volkswagen,Touareg,Diesel,12.0,5,Oui,Excellent,Automatique,WW au Maroc,187000,194999.5,8
Opel,Combo,Diesel,6.0,5,Oui,Excellent,Manuelle,WW au Maroc,178000,2499.5,1
Fiat,500,Essence,5.0,5,Oui,Excellent,Manuelle,WW au Maroc,120000,52499.5,3
Hyundai,Accent,Diesel,6.0,5,Non,Très bon,Automatique,WW au Maroc,138000,114999.5,4
Hyundai,Tucson,Diesel,6.0,5,Non,Très bon,Automatique,WW au Maroc,285000,134999.5,4
Peugeot,3008,Diesel,6.0,5,Oui,Excellent,Manuelle,WW au Maroc,280000,42499.5,3
Peugeot,208,Diesel,6.0,5,Oui,Excellent,Manuelle,Dédouanée,147000,7499.5,2
Peugeot,208,Diesel,6.0,5,Oui,Très bon,Manuelle,WW au Maroc,123000,104999.5,7
BMW,Série 5,Diesel,12.0,5,Oui,Très bon,Automatique,Dédouanée,165000,274999.5,14
Toyota,Corolla,Diesel,5.0,5,Oui,Excellent,Manuelle,WW au Maroc,120000,224999.5,10
Volkswagen,Touareg,Diesel,12.0,5,Non,Très bon,Automatique,WW au Maroc,330000,224999.5,6
BMW,Série 2,Diesel,8.0,3,Non,Excellent,Automatique,WW au Maroc,260000,124999.5,7
Mercedes-Benz,220,Diesel,9.0,5,Non,Excellent,Automatique,Dédouanée,90000,324999.5,22
Volkswagen,Golf 7,Diesel,8.0,5,Non,Très bon,Automatique,WW au Maroc,178000,114999.5,7
Renault,Kangoo,Diesel,6.0,5,Oui,Excellent,Manuelle,WW au Maroc,132000,97499.5,4
Alfa Romeo,Tonale,Hybride,8.0,5,Oui,Très bon,Automatique,WW au Maroc,355000,17499.5,2
Volkswagen,Golf 7,Diesel,6.0,5,Non,Excellent,Automatique,WW au Maroc,172000,134999.5,5
BMW,Série 3,Diesel,8.0,5,Oui,Très bon,Manuelle,WW au Maroc,75000,224999.5,22
DS,DS4,Diesel,6.0,5,Oui,Excellent,Automatique,WW au Maroc,340000,62499.5,2
Renault,Megane,Diesel,6.0,5,Non,Bon,Manuelle,WW au Maroc,60000,274999.5,22
Dacia,Logan,Diesel,5.0,5,Oui,Excellent,Manuelle,WW au Maroc,140000,62499.5,3
Hyundai,i40,Diesel,7.0,5,Non,Excellent,Manuelle,WW au Maroc,130000,164999.5,10
Dacia,Logan,Diesel,6.0,5,Non,Très bon,Manuelle,Dédouanée,65000,2499.5,19
Renault,Captur,Diesel,6.0,5,Non,Excellent,Manuelle,WW au Maroc,198000,27499.5,4
Ssangyong,Rexton,Diesel,11.0,5,Non,Très bon,Manuelle,WW au Maroc,15000,194999.5,20
Ford,Fusion,Diesel,8.0,5,Non,Très bon,Automatique,WW au Maroc,157000,104999.5,8
Opel,Grandland,Diesel,6.0,5,Oui,Excellent,Automatique,WW au Maroc,285000,12499.5,1
Peugeot,508,Diesel,6.0,5,Non,Excellent,Manuelle,WW au Maroc,155000,164999.5,6
Renault,Megane,Diesel,6.0,5,Oui,Neuf,Automatique,WW au Maroc,268000,2499.5,1
Volkswagen,Golf 5,Essence,8.0,5,Oui,Excellent,Manuelle,WW au Maroc,67000,184999.5,19
Toyota,C-HR,Hybride,10.0,5,Oui,Excellent,Automatique,WW au Maroc,189000,72499.5,8
Mercedes-Benz,Classe E,Diesel,8.0,5,Oui,Excellent,Automatique,WW au Maroc,335000,124999.5,7
Audi,A6,Diesel,8.0,5,Non,Excellent,Automatique,WW au Maroc,325000,194999.5,5
Dacia,Duster,Diesel,6.0,5,Non,Excellent,Manuelle,WW au Maroc,160000,92499.5,3
Fiat,Tipo,Diesel,5.0,5,Oui,Excellent,Manuelle,WW au Maroc,116000,134999.5,5
Ford,Ka,Essence,7.0,3,Oui,Très bon,Manuelle,Dédouanée,68000,82499.5,13
Renault,Clio,Diesel,6.0,5,Non,Excellent,Manuelle,WW au Maroc,123000,124999.5,4
Hyundai,Elantra,Essence,9.0,5,Non,Bon,Manuelle,Dédouanée,30000,114999.5,28
Ford,Fiesta,Diesel,6.0,5,Oui,Excellent,Manuelle,WW au Maroc,105000,224999.5,7
Dacia,Duster,Diesel,6.0,5,Oui,Très bon,Automatique,WW au Maroc,208000,62499.5,3
Volkswagen,Tiguan,Diesel,8.0,5,Non,Excellent,Automatique,WW au Maroc,250000,67499.5,7
Peugeot,2008,Diesel,6.0,5,Oui,Excellent,Manuelle,WW au Maroc,128000,154999.5,9
Peugeot,3008,Diesel,8.0,5,Non,Excellent,Automatique,WW au Maroc,310000,37499.5,4
