Marque,Modèle,Type de carburant,Puissance fiscale,Nombre de portes,Première main,État,Boîte à vitesses,Origine,Prix,average_km,Âge
Ford,Kuga,Diesel,8.0,5,Oui,Excellent,Automatique,WW au Maroc,125000,224999.5,13
Peugeot,208,Diesel,6.0,5,Non,Très bon,Manuelle,WW au Maroc,81000,274999.5,12
Renault,Clio,Diesel,6.0,5,Oui,Excellent,Automatique,WW au Maroc,140000,82499.5,5
Peugeot,Partner,Diesel,7.0,5,Non,Très bon,Manuelle,WW au Maroc,50000,27499.5,20
Peugeot,Rifter,Diesel,6.0,5,Non,Excellent,Manuelle,WW au Maroc,168000,2499.5,5
Peugeot,Partner,Diesel,6.0,5,Non,Très bon,Manuelle,WW au Maroc,90000,17499.5,13
Chevrolet,Optra,Essence,9.0,5,Non,Bon,Manuelle,WW au Maroc,28000,324999.5,20
Renault,Clio,Essence,7.0,5,Non,Très bon,Manuelle,WW au Maroc,85000,124999.5,9
Citroen,C4,Diesel,6.0,5,Oui,Excellent,Automatique,WW au Maroc,225000,104999.5,3
Ford,Focus,Diesel,6.0,5,Non,Très bon,Manuelle,WW au Maroc,135000,164999.5,8
Renault,Clio,Essence,6.0,5,Oui,Bon,Automatique,WW au Maroc,140000,114999.5,4
Audi,A3,Diesel,8.0,5,Non,Excellent,Automatique,WW au Maroc,215000,224999.5,8
Kia,Sportage,Diesel,8.0,5,Oui,Excellent,Automatique,WW au Maroc,272000,32499.5,4
Mini,Cooper,Essence,9.0,3,Oui,Bon,Manuelle,WW au Maroc,172000,57499.5,8
Ssangyong,Actyon,Diesel,8.0,5,Non,Très bon,Manuelle,WW au Maroc,46000,274999.5,17
Renault,Express,Diesel,6.0,5,Oui,Excellent,Manuelle,WW au Maroc,150000,82499.5,3
BMW,Série 5,Diesel,8.0,5,Non,Excellent,Automatique,WW au Maroc,285000,164999.5,7
Kia,Picanto,Essence,6.0,5,Non,Très bon,Manuelle,WW au Maroc,59000,194999.5,16
Citroen,Berlingo,Diesel,6.0,3,Oui,Bon,Manuelle,WW au Maroc,175000,124999.5,3
Peugeot,206,Diesel,6.0,5,Non,Bon,Manuelle,WW au Maroc,57000,324999.5,20
Dacia,Logan,Diesel,6.0,5,Oui,Très bon,Manuelle,WW au Maroc,126000,104999.5,4
Volvo,XC40,Essence,11.0,5,Oui,Excellent,Automatique,WW au Maroc,330000,22499.5,2
Volkswagen,Passat,Diesel,8.0,5,Oui,Excellent,Manuelle,Dédouanée,100000,22499.5,17
Seat,Leon,Diesel,6.0,5,Non,Très bon,Manuelle,WW au Maroc,135000,154999.5,11
Honda,Jazz,Essence,8.0,5,Non,Bon,Manuelle,WW au Maroc,40000,164999.5,21
Renault,Megane,Diesel,6.0,5,Non,Très bon,Manuelle,WW au Maroc,150000,104999.5,7
Volkswagen,Polo,Diesel,8.0,5,Non,Très bon,Manuelle,WW au Maroc,59000,224999.5,20
Hyundai,Accent,Diesel,6.0,5,Oui,Bon,Automatique,WW au Maroc,205000,47499.5,3
Volkswagen,Arteon,Diesel,8.0,5,Oui,Excellent,Automatique,WW au Maroc,260000,82499.5,6
Dacia,Sandero,Essence,7.0,5,Non,Bon,Manuelle,WW au Maroc,53000,174999.5,16
Peugeot,2008,Diesel,6.0,5,Oui,Excellent,Automatique,WW au Maroc,175000,77499.5,3
Kia,Picanto,Essence,6.0,5,Non,Excellent,Manuelle,WW au Maroc,59000,224999.5,17
Dacia,Logan,Diesel,6.0,5,Non,Excellent,Manuelle,WW au Maroc,115000,67499.5,6
Volvo,XC60,Diesel,8.0,5,Non,Neuf,Automatique,WW au Maroc,145000,164999.5,11
Ford,Tourneo,Diesel,7.0,5,Oui,Excellent,Manuelle,Dédouanée,90000,224999.5,15
BMW,Série 1,Diesel,8.0,5,Non,Excellent,Manuelle,WW au Maroc,92000,184999.5,15
Toyota,Yaris,Essence,6.0,5,Non,Excellent,Manuelle,WW au Maroc,118999,154999.5,6
Chevrolet,Cruze,Essence,9.0,5,Non,Excellent,Manuelle,WW au Maroc,69000,184999.5,14
BMW,Série 1,Diesel,6.0,5,Oui,Excellent,Automatique,WW au Maroc,193000,194999.5,8
Fiat,Doblo,Diesel,6.0,5,Oui,Excellent,Manuelle,WW au Maroc,98000,224999.5,5
Mercedes-Benz,Classe E,Diesel,9.0,5,Non,Excellent,Manuelle,Dédouanée,90000,274999.5,21
Renault,Clio,Diesel,6.0,5,Oui,Bon,Automatique,WW au Maroc,135000,124999.5,6
Mercedes-Benz,Classe C,Diesel,9.0,5,Non,Très bon,Automatique,Dédouanée,172000,224999.5,14
DFSK,K01,Essence,6.0,5,Oui,Excellent,Manuelle,WW au Maroc,67000,67499.5,6
Audi,A4,Diesel,8.0,5,Oui,Excellent,Automatique,WW au Maroc,172000,154999.5,10
Citroen,Xsara,Diesel,7.0,5,Non,Bon,Manuelle,WW au Maroc,40000,224999.5,23
Renault,Clio,Diesel,6.0,5,Oui,Très bon,Manuelle,WW au Maroc,155000,134999.5,4
Hyundai,i20,Diesel,6.0,5,Non,Excellent,Manuelle,WW au Maroc,123000,124999.5,6
Renault,12,Diesel,4.0,5,Oui,Excellent,Manuelle,WW au Maroc,90000,2499.5,11
Fiat,Tipo,Essence,9.0,5,Non,Excellent,Automatique,WW au Maroc,135000,17499.5,3
Ford,Kuga,Diesel,6.0,5,Oui,Très bon,Automatique,WW au Maroc,275000,57499.5,4
Mercedes-Benz,220,Essence,8.0,5,Oui,Très bon,Manuelle,Dédouanée,80000,2499.5,20
Land Rover,Range Rover Sport,Diesel,17.0,5,Oui,Très bon,Automatique,Importée neuve,300000,184999.5,10
Volkswagen,Tiguan,Diesel,8.0,5,Oui,Bon,Automatique,WW au Maroc,230000,154999.5,7
Ford,Focus,Diesel,6.0,5,Non,Très bon,Manuelle,WW au Maroc,140000,144999.5,8
Hyundai,Tucson,Hybride,9.0,5,Non,Excellent,Automatique,WW au Maroc,335000,72499.5,2
Renault,Espace,Diesel,8.0,5,Non,Bon,Manuelle,Dédouanée,35000,2499.5,28
Volkswagen,Passat CC,Diesel,8.0,5,Oui,Excellent,Manuelle,WW au Maroc,165000,174999.5,8
Mercedes-Benz,Classe E,Diesel,8.0,5,Non,Très bon,Automatique,WW au Maroc,310000,154999.5,9
Peugeot,308,Diesel,6.0,5,Non,Neuf,Automatique,WW au Maroc,177000,97499.5,5
Jeep,Wrangler,Diesel,6.0,5,Non,Bon,Automatique,WW au Maroc,153000,7499.5,8
Mercedes-Benz,Classe GLC,Diesel,8.0,5,Non,Excellent,Automatique,WW au Maroc,279000,144999.5,9
Dacia,Logan,Diesel,6.0,5,Oui,Excellent,Manuelle,WW au Maroc,123000,104999.5,5
Hyundai,Tucson,Diesel,6.0,5,Oui,Excellent,Automatique,WW au Maroc,310000,22499.5,1
