Marque,Modèle,Année,Type de carburant,Puissance fiscale,Kilométrage,Nombre de portes,Première main,État,Boîte à vitesses,Origine,Prix
Fiat,Siena,1999,Essence,7 CV,35 000 - 39 999,5,Non,Correct,Manuelle,WW au Maroc,
Land Rover,Range Rover Evoque,2017,Diesel,8 CV,130 000 - 139 999,5,Non,Excellent,Automatique,WW au Maroc,
Toyota,Corolla,2021,Hybride,10 CV,60 000 - 64 999,5,Non,Excellent,Automatique,WW au Maroc,215 000 DH
Hyundai,Elantra,2019,Diesel,6 CV,130 000 - 139 999,5,,Très bon,Automatique,WW au Maroc,158 000 DH
Peugeot,208,2022,Diesel,6 CV,40 000 - 44 999,,Non,Excellent,Automatique,WW au Maroc,
Suzuki,Celerio,2010,Essence,6 CV,15 000 - 19 999,5,,Très bon,Manuelle,,45 000 DH
Mercedes-Benz,Vito,2009,Diesel,9 CV,100 000 - 109 999,5,Non,Excellent,Manuelle,Importée neuve,110 000 DH
Dacia,Duster,2023,Diesel,6 CV,40 000 - 44 999,5,Oui,Excellent,Automatique,WW au Maroc,270 000 DH
Skoda,Karoq,2020,Diesel,6 CV,190 000 - 199 999,5,,Excellent,Automatique,Dédouanée,
Mercedes-Benz,250,1986,Diesel,8 CV,Plus de 500 000,5,Non,Bon,Manuelle,Dédouanée,41 000 DH
Nissan,Juke,2013,Diesel,6 CV,100 000 - 109 999,5,Non,Très bon,Manuelle,Dédouanée,160 000 DH
Land Rover,Range Rover Sport,2021,Diesel,12 CV,90 000 - 94 999,,,Excellent,Automatique,,680 000 DH
Mercedes-Benz,Classe GLA,2021,Diesel,8 CV,170 000 - 179 999,5,Non,Neuf,Automatique,Dédouanée,
Peugeot,205,1992,Diesel,7 CV,20 000 - 24 999,5,Non,Très bon,Manuelle,WW au Maroc,27 000 DH
Renault,Clio,2021,Diesel,6 CV,130 000 - 139 999,5,Oui,Excellent,Manuelle,WW au Maroc,141 000 DH
Volkswagen,Caddy,2010,Diesel,8 CV,250 000 - 299 999,,,Très bon,Manuelle,,
Renault,Captur,2015,Diesel,6 CV,100 000 - 109 999,5,Oui,Très bon,Manuelle,WW au Maroc,
Hyundai,Accent,2005,Diesel,6 CV,250 000 - 299 999,5,Non,,Manuelle,,40 000 DH
Volkswagen,Tiguan,2009,Diesel,8 CV,200 000 - 249 999,5,Non,Excellent,Automatique,WW au Maroc,135 000 DH
Peugeot,407,2008,Essence,13 CV,190 000 - 199 999,5,Non,Très bon,Manuelle,Dédouanée,30 000 DH
Mercedes-Benz,Classe C,2019,Diesel,8 CV,95 000 - 99 999,5,Oui,Excellent,Automatique,WW au Maroc,
Dacia,Dokker,2021,Diesel,6 CV,150 000 - 159 999,5,Oui,Excellent,Manuelle,WW au Maroc,
Peugeot,Partner,2018,Diesel,6 CV,200 000 - 249 999,5,Oui,Excellent,Manuelle,WW au Maroc,90 000 DH
Peugeot,208,2018,Diesel,25 CV,110 000 - 119 999,5,Oui,Très bon,Manuelle,WW au Maroc,110 000 DH
Suzuki,Swift,2008,Essence,7 CV,200 000 - 249 999,5,Non,Excellent,Manuelle,WW au Maroc,54 000 DH
Kia,Picanto,2025,Essence,6 CV,0 - 4 999,5,Oui,Neuf,Automatique,WW au Maroc,
Volvo,S80,2012,Essence,17 CV,120 000 - 129 999,5,Non,Excellent,Automatique,WW au Maroc,
Dacia,Logan,2020,Diesel,6 CV,55 000 - 59 999,5,Oui,Excellent,Automatique,WW au Maroc,178 000 DH
Ford,Mondeo,2005,Essence,11 CV,200 000 - 249 999,3,Non,Bon,Manuelle,Dédouanée,26 000 DH
Volkswagen,Caddy,2008,Diesel,8 CV,250 000 - 299 999,5,,Excellent,Manuelle,Dédouanée,110 000 DH
BMW,X1,2014,Diesel,8 CV,130 000 - 139 999,5,Non,Très bon,Automatique,WW au Maroc,160 000 DH
Renault,Megane,2020,Diesel,6 CV,65 000 - 69 999,5,Non,Excellent,Manuelle,WW au Maroc,
Hyundai,Creta,2023,Diesel,6 CV,65 000 - 69 999,5,Oui,Très bon,Automatique,WW au Maroc,277 000 DH
BMW,Série 1,2012,Essence,6 CV,140 000 - 149 999,5,Non,Excellent,Manuelle,WW au Maroc,105 000 DH
Peugeot,205,1993,Diesel,7 CV,5 000 - 9 999,5,Oui,Bon,Manuelle,WW au Maroc,2 800 000 DH
Audi,Q5,2022,Diesel,8 CV,15 000 - 19 999,5,Oui,Excellent,Automatique,Dédouanée,
Volkswagen,Tiguan,2017,Diesel,8 CV,170 000 - 179 999,5,Oui,Neuf,Manuelle,Dédouanée,
Ford,Cougar,2018,Diesel,8 CV,160 000 - 169 999,5,Non,Excellent,Automatique,WW au Maroc,
Audi,Q5,2014,Diesel,8 CV,180 000 - 189 999,5,Non,Très bon,Automatique,Dédouanée,300 000 DH
Mercedes-Benz,220,2021,Diesel,8 CV,90 000 - 94 999,,Oui,Excellent,Automatique,WW au Maroc,370 000 DH
Volkswagen,Golf 6,2012,Diesel,6 CV,200 000 - 249 999,5,Non,Excellent,Manuelle,Dédouanée,
Toyota,Corolla,2014,Diesel,5 CV,190 000 - 199 999,5,Non,Excellent,Manuelle,WW au Maroc,
Renault,R9,1989,Diesel,6 CV,0 - 4 999,5,Non,Bon,Manuelle,Dédouanée,15 000 DH
Volkswagen,Tiguan,2021,Diesel,8 CV,15 000 - 19 999,,,,Automatique,Dédouanée,
Peugeot,2008,2021,Diesel,7 CV,120 000 - 129 999,5,Non,Bon,Automatique,WW au Maroc,
Opel,Corsa,2012,Essence,5 CV,120 000 - 129 999,3,Non,Excellent,Manuelle,WW au Maroc,
Audi,Q3,2023,Essence,14 CV,45 000 - 49 999,5,Oui,Neuf,Automatique,Importée neuve,
Fiat,Palio,1999,Essence,6 CV,0 - 4 999,5,,Excellent,Manuelle,WW au Maroc,33 000 DH
Suzuki,Maruti,2008,Diesel,5 CV,10 000 - 14 999,5,Non,Bon,Manuelle,WW au Maroc,25 000 DH
Renault,Latitude,2013,Diesel,8 CV,200 000 - 249 999,5,Oui,Neuf,Automatique,WW au Maroc,
Ford,Focus,2009,Essence,9 CV,190 000 - 199 999,5,Non,Excellent,Manuelle,WW au Maroc,58 000 DH
Mercedes-Benz,Classe C,2015,Diesel,7 CV,190 000 - 199 999,5,Non,Très bon,Automatique,WW au Maroc,235 000 DH
Hyundai,Tucson,2023,Diesel,6 CV,70 000 - 74 999,,,Excellent,Automatique,WW au Maroc,2 850 000 DH
Renault,19,1989,Diesel,6 CV,5 000 - 9 999,,,Excellent,Manuelle,,40 000 DH
Fiat,500,2018,Essence,5 CV,100 000 - 109 999,5,Oui,Excellent,Automatique,WW au Maroc,
,,,,,,,,,,,
BMW,X3,2012,Diesel,8 CV,200 000 - 249 999,5,Oui,Bon,Manuelle,WW au Maroc,170 000 DH
Toyota,Aygo,2011,Essence,6 CV,110 000 - 119 999,5,Oui,Très bon,Manuelle,WW au Maroc,62 000 DH
Skoda,Kodiaq,2020,Diesel,8 CV,130 000 - 139 999,5,Oui,Excellent,Automatique,WW au Maroc,
Audi,A6,2016,Diesel,12 CV,130 000 - 139 999,5,Oui,Très bon,Automatique,WW au Maroc,
Toyota,Corolla,2005,Diesel,8 CV,190 000 - 199 999,5,,,Manuelle,WW au Maroc,60 000 DH
Volkswagen,Touran,2007,Diesel,8 CV,200 000 - 249 999,5,Non,Très bon,Manuelle,Dédouanée,117 000 DH
