Marque,Modèle,Année,Type de carburant,Puissance fiscale,Kilométrage,Nombre de portes,Première main,État,Boîte à vitesses,Origine,Prix
Mercedes-Benz,Classe E,2018,Diesel,8 CV,130 000 - 139 999,5,Non,Très bon,Automatique,WW au Maroc,275 000 DH
Kia,Rio,2021,Essence,8 CV,50 000 - 54 999,,Oui,Excellent,Manuelle,WW au Maroc,130 000 DH
BMW,Série 7,2010,Essence,20 CV,160 000 - 169 999,5,Non,Excellent,Automatique,WW au Maroc,
Porsche,Carrera,2022,Essence,17 CV,10 000 - 14 999,5,Oui,Excellent,Automatique,Importée neuve,
Peugeot,2008,2023,Diesel,6 CV,25 000 - 29 999,5,Oui,Neuf,Automatique,WW au Maroc,
Seat,Ibiza,2012,Diesel,6 CV,170 000 - 179 999,5,Oui,Excellent,Manuelle,WW au Maroc,48 000 DH
Volkswagen,Caddy,2018,Diesel,8 CV,20 000 - 24 999,,,Excellent,Manuelle,,135 000 DH
Opel,Corsa,2013,Essence,6 CV,170 000 - 179 999,3,Non,Excellent,Manuelle,WW au Maroc,70 000 DH
Volkswagen,Golf 7,2015,Diesel,7 CV,130 000 - 139 999,5,Non,Excellent,Manuelle,Dédouanée,158 000 DH
BMW,X6,2022,Diesel,12 CV,80 000 - 84 999,5,Non,Très bon,Automatique,WW au Maroc,
Jaguar,XF,2010,Diesel,12 CV,250 000 - 299 999,5,Non,Bon,Automatique,WW au Maroc,88 000 DH
Land Rover,Range Rover Vogue,2018,Diesel,12 CV,140 000 - 149 999,5,Oui,Très bon,Automatique,WW au Maroc,
Citroen,Berlingo,2018,Diesel,6 CV,0 - 4 999,5,Non,Très bon,Manuelle,WW au Maroc,131 000 DH
Dacia,Logan,2022,Essence,6 CV,75 000 - 79 999,5,Oui,Excellent,Manuelle,WW au Maroc,90 000 DH
Jeep,Grand Cherokee,2017,Diesel,12 CV,120 000 - 129 999,5,Non,Très bon,Automatique,WW au Maroc,160 000 DH
Peugeot,Partner,2007,Diesel,7 CV,0 - 4 999,5,Non,Très bon,Manuelle,WW au Maroc,50 000 DH
Volkswagen,Golf 8,2020,Diesel,8 CV,75 000 - 79 999,5,Oui,Excellent,Manuelle,Dédouanée,265 000 DH
Hyundai,Santa Fe,2011,Diesel,9 CV,300 000 - 349 999,5,Non,Très bon,Automatique,Importée neuve,105 000 DH
Kia,Picanto,2019,Essence,6 CV,65 000 - 69 999,5,Non,Très bon,Manuelle,WW au Maroc,960 000 DH
Mercedes-Benz,Classe B,2016,Diesel,6 CV,85 000 - 89 999,5,Oui,Très bon,Automatique,WW au Maroc,200 000 DH
Seat,Leon,2009,Diesel,8 CV,190 000 - 199 999,5,,Très bon,Manuelle,WW au Maroc,
Seat,Leon,2018,Diesel,8 CV,120 000 - 129 999,,,Très bon,Manuelle,,192 000 DH
Hyundai,Tucson,2018,Diesel,6 CV,160 000 - 169 999,5,Oui,Excellent,Manuelle,WW au Maroc,194 000 DH
Volvo,XC60,2019,Diesel,8 CV,110 000 - 119 999,5,Non,Excellent,Automatique,WW au Maroc,324 000 DH
Renault,Clio,2019,Diesel,6 CV,160 000 - 169 999,5,Non,Excellent,Manuelle,WW au Maroc,105 000 DH
Porsche,Panamera,2016,Diesel,12 CV,110 000 - 119 999,5,Oui,Excellent,Automatique,WW au Maroc,395 000 DH
Audi,A3,2018,Diesel,8 CV,200 000 - 249 999,5,Non,Excellent,Automatique,Dédouanée,
Ford,Focus,2011,Diesel,6 CV,200 000 - 249 999,5,Non,Très bon,Manuelle,WW au Maroc,110 000 DH
Suzuki,Jimny,2022,Essence,8 CV,30 000 - 34 999,3,Oui,Excellent,Manuelle,WW au Maroc,188 000 DH
Mercedes-Benz,Classe E,2017,Diesel,8 CV,90 000 - 94 999,,,,Automatique,,495 000 DH
Mitsubishi,Pajero Sport,2022,Diesel,10 CV,80 000 - 84 999,5,Oui,Excellent,Automatique,WW au Maroc,359 999 DH
Hyundai,Tucson,2022,Diesel,8 CV,30 000 - 34 999,5,Oui,Excellent,Automatique,Dédouanée,260 000 DH
Renault,Laguna,2008,Diesel,6 CV,25 000 - 29 999,5,Non,Très bon,Manuelle,WW au Maroc,76 000 DH
Opel,Astra,2019,Diesel,6 CV,110 000 - 119 999,5,Oui,Excellent,Automatique,WW au Maroc,180 000 DH
Maserati,Ghibli,2014,Diesel,12 CV,170 000 - 179 999,5,Non,Très bon,Automatique,Importée neuve,198 000 DH
Mercedes-Benz,Classe E,2016,Diesel,8 CV,130 000 - 139 999,5,Oui,Excellent,Automatique,WW au Maroc,279 000 DH
Volkswagen,Passat,2016,Diesel,6 CV,170 000 - 179 999,,Non,Très bon,Automatique,Dédouanée,205 000 DH
Porsche,Macan,2021,Essence,11 CV,90 000 - 94 999,5,Oui,Excellent,Automatique,WW au Maroc,
Fiat,Palio,1999,Diesel,6 CV,0 - 4 999,5,Non,Bon,Manuelle,WW au Maroc,35 000 DH
Renault,19,1992,Diesel,7 CV,350 000 - 399 999,3,Non,Très bon,Manuelle,Dédouanée,28 000 DH
Porsche,Macan,2020,Essence,11 CV,45 000 - 49 999,5,,Excellent,Automatique,WW au Maroc,600 000 DH
Peugeot,Partner,2008,Diesel,6 CV,200 000 - 249 999,5,Non,Bon,Manuelle,WW au Maroc,58 000 DH
Volkswagen,Passat,2009,Diesel,8 CV,200 000 - 249 999,5,Non,Très bon,Manuelle,Dédouanée,105 000 DH
Toyota,Chaser,2018,Hybride,7 CV,100 000 - 109 999,5,Oui,Très bon,Automatique,WW au Maroc,180 000 DH
Hyundai,Tucson,2021,Diesel,6 CV,130 000 - 139 999,5,Non,Très bon,Automatique,WW au Maroc,
Kia,Picanto,2020,Essence,6 CV,40 000 - 44 999,,Oui,Excellent,Manuelle,WW au Maroc,110 000 DH
Audi,Q5,2017,Diesel,8 CV,160 000 - 169 999,3,Oui,Excellent,Automatique,Dédouanée,415 000 DH
Volkswagen,T-Roc,2019,Diesel,6 CV,170 000 - 179 999,5,Oui,Neuf,Automatique,Dédouanée,245 000 DH
Toyota,Hilux,2023,Diesel,10 CV,90 000 - 94 999,5,Oui,Neuf,Manuelle,WW au Maroc,
Audi,Q5,2020,Diesel,8 CV,85 000 - 89 999,5,Oui,Excellent,Automatique,WW au Maroc,
Kia,Rio,2017,Diesel,7 CV,0 - 4 999,5,Non,Excellent,Manuelle,,105 000 DH
Hyundai,Accent,2024,Essence,7 CV,5 000 - 9 999,5,Oui,Neuf,Automatique,WW au Maroc,
Audi,Q5,2021,Diesel,8 CV,60 000 - 64 999,5,Oui,Excellent,Automatique,Dédouanée,
BMW,Série 1,2022,Diesel,6 CV,40 000 - 44 999,5,Oui,Excellent,Automatique,WW au Maroc,359 000 DH
Renault,Talisman,2020,Diesel,6 CV,100 000 - 109 999,5,Oui,Excellent,Automatique,WW au Maroc,270 000 DH
Mercedes-Benz,190,1992,Diesel,8 CV,0 - 4 999,5,Oui,Neuf,Manuelle,Dédouanée,57 000 DH
Citroen,Berlingo,2016,LPG,7 CV,200 000 - 249 999,5,Oui,Excellent,Manuelle,WW au Maroc,123 000 DH
Fiat,Punto,2012,Diesel,5 CV,170 000 - 179 999,5,Non,Très bon,Manuelle,WW au Maroc,55 000 DH
Peugeot,307,2002,Diesel,8 CV,100 000 - 109 999,5,Non,,Manuelle,WW au Maroc,41 000 DH
Volkswagen,Tiguan,2021,Diesel,8 CV,120 000 - 129 999,5,Oui,Excellent,Automatique,Dédouanée,450 000 DH
Dacia,Sandero,2022,Diesel,6 CV,60 000 - 64 999,,,Excellent,Manuelle,,
Land Rover,Range Rover Evoque,2016,Diesel,8 CV,150 000 - 159 999,5,Non,Excellent,Automatique,WW au Maroc,220 000 DH
Mercedes-Benz,Classe C,2019,Diesel,8 CV,140 000 - 149 999,5,Non,Excellent,Automatique,WW au Maroc,
Dacia,Logan,2020,Diesel,6 CV,250 000 - 299 999,5,Non,Très bon,Manuelle,Dédouanée,96 000 DH
Seat,Ateca,2022,Diesel,8 CV,180 000 - 189 999,5,Non,Excellent,Manuelle,Dédouanée,
Volkswagen,Passat,2002,Essence,11 CV,190 000 - 199 999,5,Non,Excellent,Manuelle,WW au Maroc,39 000 DH
Volkswagen,Tiguan,2021,Diesel,8 CV,95 000 - 99 999,5,Oui,Excellent,Automatique,Dédouanée,490 000 DH
Porsche,Cayenne,2012,Hybride,22 CV,150 000 - 159 999,5,Oui,Très bon,Automatique,WW au Maroc,270 000 DH
Renault,Express,2021,Diesel,7 CV,50 000 - 54 999,5,Oui,Excellent,Manuelle,WW au Maroc,163 000 DH
Peugeot,Partner,2008,Diesel,7 CV,0 - 4 999,5,Non,Très bon,Manuelle,WW au Maroc,56 000 DH
Dacia,Duster,2020,Diesel,6 CV,130 000 - 139 999,5,Non,Excellent,Manuelle,,172 000 DH
Ford,C-Max,2013,Diesel,6 CV,180 000 - 189 999,5,Non,Très bon,Manuelle,WW au Maroc,125 000 DH
Hyundai,Accent,2016,Diesel,7 CV,160 000 - 169 999,5,Non,Excellent,Automatique,WW au Maroc,105 000 DH
GMC,Yukon,2017,Essence,34 CV,85 000 - 89 999,5,Oui,Excellent,Automatique,Importée neuve,
Fiat,Siena,1999,Essence,7 CV,190 000 - 199 999,5,Non,Très bon,Manuelle,WW au Maroc,25 000 DH
Dacia,Duster,2022,Diesel,6 CV,80 000 - 84 999,5,Non,Excellent,Manuelle,WW au Maroc,
Porsche,Carrera,2024,Hybride,17 CV,0 - 4 999,3,,Neuf,Automatique,Importée neuve,
Volkswagen,Tiguan,2021,Diesel,8 CV,160 000 - 169 999,5,Non,Excellent,Automatique,Pas encore dédouanée,310 000 DH
Mercedes-Benz,220,2022,Diesel,8 CV,65 000 - 69 999,5,Oui,Excellent,Automatique,Importée neuve,
Mercedes-Benz,Classe A,2019,Diesel,7 CV,90 000 - 94 999,5,Oui,Excellent,Automatique,Dédouanée,
Audi,Q5,2019,Diesel,8 CV,50 000 - 54 999,5,Non,Excellent,Automatique,WW au Maroc,
Renault,Clio,2020,Diesel,6 CV,150 000 - 159 999,3,Oui,Excellent,Manuelle,Dédouanée,
Seat,Ibiza,2013,Essence,7 CV,110 000 - 119 999,5,Non,Très bon,Manuelle,WW au Maroc,80 000 DH
Toyota,Corolla,2020,Hybride,10 CV,80 000 - 84 999,5,Non,Excellent,Automatique,WW au Maroc,
Mercedes-Benz,300,2008,Essence,20 CV,250 000 - 299 999,5,Non,Très bon,Automatique,WW au Maroc,
Renault,Clio,2018,Diesel,7 CV,200 000 - 249 999,,,,Manuelle,WW au Maroc,95 000 DH
Dacia,Lodgy,2022,Diesel,6 CV,50 000 - 54 999,5,Oui,Excellent,Manuelle,WW au Maroc,
BMW,X6,2018,Diesel,12 CV,110 000 - 119 999,5,Oui,Très bon,Automatique,WW au Maroc,
Citroen,C3,2014,Diesel,6 CV,200 000 - 249 999,5,Non,Bon,Manuelle,WW au Maroc,80 000 DH
Ford,Focus,2018,Diesel,6 CV,100 000 - 109 999,5,Non,Excellent,Manuelle,WW au Maroc,163 000 DH
Toyota,C-HR,2020,Essence,7 CV,55 000 - 59 999,,,Excellent,Manuelle,,160 000 DH
Toyota,Avensis,2006,Diesel,8 CV,140 000 - 149 999,5,Non,Très bon,Manuelle,,64 000 DH
Renault,Clio,2001,Essence,8 CV,0 - 4 999,5,Non,Bon,Manuelle,Importée neuve,45 000 DH
BMW,X5,2016,Diesel,8 CV,150 000 - 159 999,5,Non,Très bon,Automatique,WW au Maroc,255 000 DH
Dacia,Logan,2017,Diesel,6 CV,100 000 - 109 999,3,Non,Très bon,Manuelle,WW au Maroc,93 000 DH
Mercedes-Benz,Classe E,2011,Diesel,8 CV,190 000 - 199 999,5,Non,Excellent,Automatique,WW au Maroc,
Peugeot,Partner,2017,Diesel,6 CV,190 000 - 199 999,5,Oui,Bon,Manuelle,WW au Maroc,89 000 DH
Mercedes-Benz,250,1994,Diesel,10 CV,190 000 - 199 999,,Non,Excellent,Manuelle,Dédouanée,48 000 DH
Hyundai,Creta,2018,Diesel,6 CV,75 000 - 79 999,5,Non,Excellent,Manuelle,WW au Maroc,180 000 DH
Seat,Ibiza,2022,Essence,6 CV,40 000 - 44 999,5,Oui,Excellent,Manuelle,WW au Maroc,150 000 DH
Opel,Astra,2019,Diesel,7 CV,120 000 - 129 999,5,Oui,Excellent,Manuelle,WW au Maroc,154 000 DH
Ford,Focus,2016,Diesel,6 CV,120 000 - 129 999,3,Non,Excellent,Manuelle,WW au Maroc,
Mitsubishi,Lancer,2008,Essence,6 CV,20 000 - 24 999,,,,Manuelle,,
Volkswagen,Passat CC,2016,Diesel,8 CV,65 000 - 69 999,5,Oui,Excellent,Automatique,WW au Maroc,195 000 DH
Peugeot,Rifter,2021,Diesel,6 CV,110 000 - 119 999,5,Non,Bon,Manuelle,WW au Maroc,174 900 DH
Mercedes-Benz,220,2018,Diesel,11 CV,0 - 4 999,5,Oui,Très bon,Automatique,WW au Maroc,260 000 DH
Opel,Mokka,2023,Essence,6 CV,10 000 - 14 999,5,Oui,Neuf,Automatique,WW au Maroc,
Peugeot,2008,2019,Diesel,6 CV,50 000 - 54 999,5,Non,Excellent,Manuelle,WW au Maroc,180 000 DH
Toyota,Corolla,2021,Hybride,10 CV,60 000 - 64 999,5,Oui,Excellent,Automatique,WW au Maroc,205 000 DH
Jeep,Wrangler,2018,Diesel,11 CV,70 000 - 74 999,5,Oui,Bon,Manuelle,WW au Maroc,260 000 DH
Toyota,RAV 4,2015,Diesel,9 CV,200 000 - 249 999,5,Non,Excellent,Automatique,WW au Maroc,148 000 DH
Mercedes-Benz,Classe E,2022,Hybride,8 CV,60 000 - 64 999,5,Oui,Excellent,Automatique,Importée neuve,
Dacia,Duster,2021,Diesel,6 CV,100 000 - 109 999,5,Oui,Excellent,Manuelle,WW au Maroc,195 000 DH
Porsche,Cayenne,2017,Diesel,12 CV,90 000 - 94 999,,,,Automatique,,460 000 DH
Mercedes-Benz,Classe GLS,2012,Essence,31 CV,40 000 - 44 999,5,Oui,Très bon,Automatique,Dédouanée,
Peugeot,206,2004,Essence,6 CV,30 000 - 34 999,5,Non,Bon,Manuelle,WW au Maroc,50 000 DH
Volkswagen,Touareg,2019,Diesel,12 CV,100 000 - 109 999,5,Oui,Excellent,Automatique,WW au Maroc,229 000 DH
Volkswagen,Golf 7,2019,Diesel,8 CV,100 000 - 109 999,5,Non,Très bon,Automatique,Dédouanée,320 000 DH
Audi,A5,2011,Diesel,8 CV,200 000 - 249 999,5,Non,Excellent,Manuelle,WW au Maroc,160 000 DH
Hyundai,Tucson,2017,Diesel,6 CV,55 000 - 59 999,5,Oui,Excellent,Automatique,WW au Maroc,
Volkswagen,Golf 2,1985,Diesel,6 CV,35 000 - 39 999,5,Non,Bon,Manuelle,Dédouanée,
Nissan,Micra,2018,Diesel,6 CV,85 000 - 89 999,5,Non,Bon,Manuelle,Dédouanée,125 000 DH
Citroen,C3,2021,Diesel,6 CV,80 000 - 84 999,,Non,Très bon,Manuelle,WW au Maroc,147 000 DH
Mercedes-Benz,190,1991,Diesel,8 CV,30 000 - 34 999,5,Non,Très bon,Manuelle,Importée neuve,65 000 DH
Citroen,C3,2020,Diesel,6 CV,120 000 - 129 999,5,Non,Très bon,Manuelle,WW au Maroc,
BMW,Série 1,2016,Diesel,6 CV,65 000 - 69 999,5,Non,Très bon,Automatique,WW au Maroc,
Volkswagen,Tiguan,2022,Diesel,8 CV,100 000 - 109 999,5,Non,Excellent,Automatique,Dédouanée,
Dacia,Dokker,2020,Diesel,6 CV,100 000 - 109 999,5,Oui,Excellent,Manuelle,WW au Maroc,
Volvo,XC60,2018,Diesel,8 CV,95 000 - 99 999,5,Oui,Excellent,Automatique,WW au Maroc,292 000 DH
Dacia,Duster,2022,Diesel,6 CV,70 000 - 74 999,5,Non,Excellent,Automatique,WW au Maroc,190 000 DH
Hyundai,i10,2015,Essence,6 CV,150 000 - 159 999,5,Oui,Excellent,Manuelle,WW au Maroc,67 000 DH
Renault,Clio,2018,Diesel,6 CV,140 000 - 149 999,5,Non,Excellent,Automatique,WW au Maroc,119 000 DH
Dacia,Sandero,2020,Diesel,6 CV,120 000 - 129 999,5,Oui,Excellent,Manuelle,WW au Maroc,129 000 DH
Ssangyong,Kyron,2006,Diesel,8 CV,200 000 - 249 999,5,Non,Bon,Manuelle,Dédouanée,48 000 DH
Maserati,Levante,2024,Essence,11 CV,0 - 4 999,5,Oui,Excellent,Automatique,WW au Maroc,
Land Rover,Range Rover Evoque,2013,Diesel,8 CV,100 000 - 109 999,5,Non,Excellent,Automatique,WW au Maroc,
BMW,Série 4,2017,Diesel,8 CV,95 000 - 99 999,5,Non,Excellent,Automatique,WW au Maroc,275 000 DH
BMW,X6,2020,Diesel,17 CV,95 000 - 99 999,5,Oui,Excellent,Automatique,Importée neuve,650 000 DH
Peugeot,Partner,2007,Diesel,6 CV,0 - 4 999,5,,Très bon,Manuelle,,58 000 DH
Mercedes-Benz,Classe C,2025,Diesel,8 CV,0 - 4 999,5,Oui,Excellent,Automatique,Importée neuve,
Mercedes-Benz,Classe A,2019,Diesel,6 CV,85 000 - 89 999,5,Non,Excellent,Automatique,Dédouanée,360 000 DH
Audi,Q8,2023,Diesel,12 CV,40 000 - 44 999,5,Oui,Excellent,Automatique,Importée neuve,
Peugeot,208,2024,Diesel,6 CV,0 - 4 999,5,Oui,Excellent,Manuelle,WW au Maroc,190 000 DH
Renault,Fluence,2015,Diesel,6 CV,250 000 - 299 999,5,Oui,Excellent,Manuelle,WW au Maroc,110 000 DH
Hyundai,i40,2019,Diesel,7 CV,130 000 - 139 999,5,Oui,Excellent,Automatique,WW au Maroc,185 000 DH
Hyundai,Elantra,2017,Diesel,6 CV,140 000 - 149 999,5,Non,Excellent,Manuelle,WW au Maroc,147 000 DH
Hyundai,Accent,2022,Hybride,9 CV,50 000 - 54 999,5,Oui,Excellent,Automatique,Pas encore dédouanée,325 000 DH
Volkswagen,Golf 4,2000,Diesel,8 CV,190 000 - 199 999,,,,Manuelle,Dédouanée,68 000 DH
Kia,Sportage,2024,Diesel,6 CV,10 000 - 14 999,5,Non,Neuf,Automatique,WW au Maroc,360 000 DH
Renault,Clio,2021,Diesel,7 CV,120 000 - 129 999,5,Oui,Très bon,Manuelle,WW au Maroc,
Dacia,Logan,2021,Diesel,7 CV,45 000 - 49 999,5,Non,Excellent,Manuelle,WW au Maroc,120 000 DH
Mercedes-Benz,Classe E,2025,Hybride,8 CV,0 - 4 999,5,Oui,Neuf,Automatique,Importée neuve,
Skoda,Octavia,2019,Diesel,8 CV,0 - 4 999,5,Oui,Excellent,Automatique,WW au Maroc,199 000 DH
Mercedes-Benz,Classe S,2018,Diesel,12 CV,95 000 - 99 999,5,Non,Excellent,Automatique,,540 000 DH
Renault,Captur,2023,Diesel,6 CV,20 000 - 24 999,5,Oui,Excellent,Manuelle,WW au Maroc,220 000 DH
Zotye,Nomad,2010,Essence,7 CV,450 000 - 499 999,5,Non,Très bon,Manuelle,WW au Maroc,43 000 DH
Fiat,Siena,2022,Diesel,7 CV,10 000 - 14 999,5,Non,Bon,Manuelle,WW au Maroc,37 000 DH
Nissan,Qashqai,2016,Diesel,6 CV,200 000 - 249 999,5,Non,Excellent,Manuelle,WW au Maroc,175 000 DH
Dacia,Dokker,2020,Diesel,6 CV,150 000 - 159 999,5,,Très bon,Manuelle,WW au Maroc,166 000 DH
Hyundai,Santa Fe,2007,Diesel,8 CV,200 000 - 249 999,5,Non,Très bon,Manuelle,WW au Maroc,73 000 DH
Dacia,Logan,2024,Diesel,6 CV,55 000 - 59 999,5,Oui,Excellent,Manuelle,WW au Maroc,158 000 DH
Renault,Clio,2019,Diesel,6 CV,55 000 - 59 999,5,Oui,Neuf,Automatique,WW au Maroc,
Dacia,Logan,2020,Diesel,6 CV,110 000 - 119 999,5,Non,Excellent,Manuelle,WW au Maroc,125 000 DH
Mercedes-Benz,Classe B,2013,Diesel,7 CV,200 000 - 249 999,5,Oui,Excellent,Automatique,WW au Maroc,
Mercedes-Benz,Classe C,2021,Diesel,8 CV,50 000 - 54 999,,,Excellent,Automatique,Importée neuve,
Volkswagen,Golf 7,2018,Diesel,8 CV,65 000 - 69 999,5,Oui,Excellent,Manuelle,WW au Maroc,170 000 DH
Dacia,Logan,2018,Diesel,6 CV,110 000 - 119 999,5,Oui,Excellent,Manuelle,WW au Maroc,
BMW,Série 1,2021,Diesel,8 CV,70 000 - 74 999,5,Oui,Excellent,Automatique,Dédouanée,
Land Rover,Range Rover Evoque,2021,Diesel,8 CV,40 000 - 44 999,5,Oui,Excellent,Automatique,WW au Maroc,
BMW,Série 5,2018,Hybride,11 CV,65 000 - 69 999,5,Oui,Excellent,Automatique,WW au Maroc,345 000 DH
Volvo,S60,2016,Diesel,8 CV,130 000 - 139 999,5,Oui,Très bon,Automatique,WW au Maroc,148 000 DH
Hyundai,Accent,2001,Essence,7 CV,0 - 4 999,5,Non,Bon,Manuelle,WW au Maroc,20 000 DH
Honda,Accord,2010,Diesel,8 CV,190 000 - 199 999,5,Oui,Excellent,Automatique,WW au Maroc,112 000 DH
Mercedes-Benz,Classe GLC,2017,Diesel,9 CV,190 000 - 199 999,5,Oui,Excellent,Automatique,WW au Maroc,265 000 DH
Peugeot,2008,2021,Diesel,6 CV,140 000 - 149 999,5,Oui,Excellent,Automatique,WW au Maroc,265 000 DH
Toyota,RAV 4,2022,Hybride,15 CV,25 000 - 29 999,5,Oui,Bon,Automatique,WW au Maroc,340 000 DH
Volkswagen,Touareg,2015,Diesel,12 CV,160 000 - 169 999,5,Non,Excellent,Automatique,WW au Maroc,173 000 DH
Mercedes-Benz,Classe GLC,2019,Diesel,9 CV,60 000 - 64 999,5,Oui,Excellent,Automatique,Dédouanée,660 000 DH
Ford,Mondeo,2012,Essence,11 CV,45 000 - 49 999,5,Oui,Excellent,Manuelle,WW au Maroc,
Kia,Sportage,2020,Diesel,8 CV,160 000 - 169 999,5,,Très bon,Automatique,,190 000 DH
Renault,Captur,2022,Diesel,7 CV,80 000 - 84 999,,Oui,Très bon,Manuelle,WW au Maroc,195 000 DH
Opel,Adam,2017,Essence,7 CV,100 000 - 109 999,3,Oui,Très bon,Manuelle,WW au Maroc,112 000 DH
Mercedes-Benz,220,2020,Diesel,9 CV,90 000 - 94 999,5,Non,Excellent,Automatique,,310 000 DH
DS,DS7,2019,Diesel,8 CV,90 000 - 94 999,5,Non,Très bon,Automatique,WW au Maroc,265 000 DH
Renault,Kangoo,2000,Diesel,8 CV,140 000 - 149 999,5,Non,Excellent,Manuelle,WW au Maroc,
Peugeot,3008,2018,Diesel,8 CV,100 000 - 109 999,5,Non,Très bon,Manuelle,WW au Maroc,200 000 DH
Renault,Megane,2010,Diesel,7 CV,250 000 - 299 999,5,Non,Très bon,Manuelle,WW au Maroc,95 000 DH
Kia,Sorento,2005,Diesel,10 CV,200 000 - 249 999,5,Non,Excellent,Manuelle,WW au Maroc,53 000 DH
Hyundai,i20,2021,Diesel,6 CV,95 000 - 99 999,5,Oui,Excellent,Manuelle,WW au Maroc,
Audi,Q8,2019,Diesel,12 CV,95 000 - 99 999,5,Non,Neuf,Automatique,Importée neuve,
Renault,Kangoo,2010,Diesel,6 CV,200 000 - 249 999,5,Non,Excellent,Manuelle,WW au Maroc,
Dacia,Logan,2018,Diesel,6 CV,100 000 - 109 999,5,Non,Excellent,Manuelle,WW au Maroc,115 000 DH
Dacia,Logan,2019,Diesel,6 CV,120 000 - 129 999,5,Non,Excellent,Manuelle,WW au Maroc,117 000 DH
BMW,Série 5,2017,Diesel,8 CV,200 000 - 249 999,,Oui,Très bon,Automatique,WW au Maroc,268 000 DH
Mercedes-Benz,Classe GLC,2022,Diesel,8 CV,45 000 - 49 999,5,Oui,Excellent,Automatique,WW au Maroc,
Volkswagen,Touareg,2020,Diesel,12 CV,110 000 - 119 999,5,Oui,Excellent,Automatique,WW au Maroc,349 000 DH
Ford,Focus,2011,Diesel,6 CV,20 000 - 24 999,5,Non,Excellent,Manuelle,WW au Maroc,110 000 DH
Dacia,Dokker,2019,Diesel,6 CV,120 000 - 129 999,5,Oui,Excellent,Manuelle,WW au Maroc,140 000 DH
Citroen,C5,2020,Diesel,8 CV,100 000 - 109 999,5,Oui,Excellent,Automatique,WW au Maroc,220 000 DH
Mercedes-Benz,Classe A,2022,Hybride,6 CV,50 000 - 54 999,5,Oui,Excellent,Automatique,Dédouanée,399 999 DH
Volkswagen,Golf 7,2019,Diesel,8 CV,90 000 - 94 999,5,Non,Excellent,Automatique,WW au Maroc,237 000 DH
Dacia,Duster,2021,Diesel,6 CV,55 000 - 59 999,5,Oui,Excellent,Manuelle,WW au Maroc,
Mercedes-Benz,220,2022,Diesel,8 CV,45 000 - 49 999,5,Oui,Excellent,Automatique,WW au Maroc,
Hyundai,Accent,2019,Diesel,6 CV,250 000 - 299 999,5,Oui,Très bon,Automatique,WW au Maroc,125 000 DH
Renault,Clio,2019,Diesel,6 CV,110 000 - 119 999,5,Oui,Excellent,Manuelle,WW au Maroc,
Renault,Kangoo,2006,Diesel,6 CV,95 000 - 99 999,5,Non,Bon,Manuelle,WW au Maroc,62 000 DH
Volkswagen,T-Roc,2021,Diesel,8 CV,80 000 - 84 999,5,Non,Excellent,Automatique,WW au Maroc,
Kia,Picanto,2020,Essence,4 CV,60 000 - 64 999,5,Oui,Bon,Manuelle,WW au Maroc,93 000 DH
Jaguar,F-Pace,2017,Diesel,8 CV,170 000 - 179 999,,,Excellent,Automatique,,240 000 DH
Peugeot,2008,2022,Diesel,6 CV,65 000 - 69 999,5,Oui,Excellent,Automatique,WW au Maroc,243 000 DH
Hyundai,Santa Fe,2010,Diesel,8 CV,300 000 - 349 999,5,Non,Excellent,Automatique,WW au Maroc,113 000 DH
Porsche,Cayenne,2022,Hybride,17 CV,80 000 - 84 999,5,Oui,Excellent,Automatique,WW au Maroc,950 000 DH
Peugeot,308,2017,Diesel,8 CV,140 000 - 149 999,5,Non,Très bon,Automatique,Importée neuve,
Dacia,Dokker,2019,Diesel,6 CV,160 000 - 169 999,3,Oui,Très bon,Manuelle,WW au Maroc,
Opel,Corsa,2024,Diesel,6 CV,0 - 4 999,5,Oui,Excellent,Manuelle,WW au Maroc,170 000 DH
Peugeot,208,2017,Diesel,6 CV,170 000 - 179 999,5,Oui,Excellent,Manuelle,WW au Maroc,114 000 DH
Dacia,Duster,2019,Diesel,6 CV,120 000 - 129 999,5,Non,Très bon,Automatique,WW au Maroc,178 000 DH
Porsche,Panamera,2019,Hybride,17 CV,100 000 - 109 999,,,Excellent,Automatique,Importée neuve,750 000 DH
BMW,Série 5,2018,Diesel,8 CV,150 000 - 159 999,5,Non,Très bon,Automatique,WW au Maroc,290 000 DH
Audi,A3,2015,Diesel,6 CV,200 000 - 249 999,5,Non,Très bon,Automatique,WW au Maroc,175 000 DH
Hyundai,Accent,2020,Diesel,6 CV,140 000 - 149 999,,,,Automatique,,
BMW,Série 3,2022,Diesel,8 CV,120 000 - 129 999,,,Excellent,Automatique,,359 000 DH
Hyundai,Ioniq Hybrid,2018,Hybride,9 CV,110 000 - 119 999,5,,Excellent,Automatique,WW au Maroc,170 000 DH
Mercedes-Benz,Classe CLA,2018,Diesel,9 CV,100 000 - 109 999,5,Non,Bon,Automatique,WW au Maroc,256 000 DH
Mercedes-Benz,250,1989,Diesel,8 CV,0 - 4 999,5,Non,Très bon,Manuelle,Dédouanée,48 000 DH
Nissan,Qashqai,2022,Essence,8 CV,10 000 - 14 999,5,Oui,Neuf,Automatique,WW au Maroc,255 000 DH
Honda,CR-V,2015,Diesel,9 CV,200 000 - 249 999,,,Bon,Automatique,WW au Maroc,185 000 DH
